qstr_{reg1}.0|{reg1}.0
qstr_You_are_in_Kingdom_of_Ui|You are in Kingdom of Ui Niell of AILEACH.^^Aileach is an Irish kingdom in far north-western Ireland. The Kings of Ailech belonged to the northern Ui Neill, its rulers were said to have been descended from Niall of the Nine Hostages and took their name from the hillfort Grianan of Ailech.This kingdom emerged as a break-away from the Kingdom of Uladh, inhabited and under the sovereignty of the Cenel nEogain race.
qstr_You_are_in_Kingdom_of_MI|You are in Kingdom of MIDE.^^Mide means 'middle', due this kingdom lay in the middle of Ireland. It was created by Tuathal Teachtmhar which, having subdued the rulers of the other kingdoms, created his own realm from lands he annexed from the other four based around the Hill of Tara.Niall of the Nine Hostages established himself as king of Tara and almost without interruption his descendants were considered among the highest kings of Ireland for six centuries.His son Loegaire succeeded him and welcomed St. Patrick to his court. Niall's sons and grandsons continued a conquest of the northern Laigin territories to carve out the sub-kingdoms of Mide and Brega for their descendants.
qstr_You_are_in_Kingdom_of_AL|You are in Kingdom of ALBAN.^^In the North of Breat Britain, Picts and Scots, with their own separate languages, were traditional enemies. However, a semblance of unity among these peoples arrived thanks to the efforts of Kenneth MacAlpin, King of Dal Riata, who claimed the throne of the Picts after he had defeated them in battle.He created the kingdom of Alban with its capital at Forteviot, in Pictish territory, and moved his religious center to Dunkeld where he transferred the remains of St. Columba from Iona. MacAlpin faces the ever-increasing hostility of the Norsemen of Laithlind and the Angles of Northhymbre.
qstr_You_are_in_Kingdom_of_O|You are in Kingdom of OSRAIGE.^^Osraige is a kingdom of Ireland inhabited by the Osraige people. It was the easternmost region within the kingdom of Mumain until it formally seceded and remained as a buffer state between Mumain and Laigin, although its kings never vied for the high kingship of Ireland.The king of Osraige Cerball mac Dunlainge defeated Viking raiders and later he allied with Olaf and Ivar against Mael Sechnaill, campaigning in Leinster and Munster.He also raided Mael Sechnaill's heartlands in Mide, but he was defeated.
qstr_{s16}^^_____________|{s16}^^-------------------^^Camp Info:^^^{s6}^^{s7}^^Terrain around: {s2}^^Scouts: {s5}^^Foragers: {s3}^^Fortified camp {s4}^^{s11}
qstr_Camp_Info:^^^^Positi|Camp Info:^^^^Position: {s2}^^You're sailing on your boat.
qstr_Priests_in_followers|Priests in followers' party: {reg1}^Surgery Bonus: {reg2} (max 3)
qstr_Women_in_followers__|Women in followers' party: {reg1}^Wound Treatment Bonus: {reg2} (max 3)^^Note: Every 10 women (as refugees, camp women, soldiers wives and peasants) will give +1 morale each 72 hours. Maximum +10 morale points.
qstr_^^^^Followers:^^{s2}|^^^^Followers:^^{s2}^^--------------^^{s3}
qstr_{s7}^{s8}|{s7}^{s8}
qstr_{s21}._The_{s14}_has|{s21}. The {s14} has gotten the worst of the fighting.
qstr_{s5}_has_been_defeat|{s5} has been defeated!
qstr_This_lord_is_a_priso|This lord is a prisoner of {s10}
qstr_{s40}._His_love_inte|{s40}. His love interest is {s39}.
qstr_{s40}._He_is_betroth|{s40}. He is betrothed to {s39}.
qstr_Army_size:_{reg26}|Army size: {reg26}
qstr_{s1}^^{s2}_of_the_{s|{s1}^^{s2} of the {s3}^Relation {reg3}^Last visit {reg4} days ago
qstr_{reg2}_warriors_acco|{reg2} warriors accompany the king.
qstr_{s2}^^{reg2}_warrior|{s2}^^{reg2} warriors serve various lords of the kingdom.
qstr_{s2}^^{reg2}_warriors|{s2}^^{reg2} warriors garrison our towns.
qstr_{s2}^^{reg2}_warriors_|{s2}^^{reg2} warriors garrison our forts.
qstr_Kingdom_Armies_Repor|Kingdom Armies Report:^Land levy not included^^^{s2}
qstr_Rents_and_taxes_from|Rents and taxes from the king's holdings: {reg0} penings.
qstr_{s2}^Taxes_from_king|{s2}^Taxes from kingdom lords: {reg0} penings.
qstr_{s2}^^Kingdom_Total_|{s2}^^Kingdom Total Income: {reg0} penings.
qstr_Payroll_for_the_king|Payroll for the king's army: {reg1} penings.
qstr_{s3}^Payroll_for_gar|{s3}^Payroll for garrisons: {reg1} penings.
qstr_{s3}^^Kingdom_Total_|{s3}^^Kingdom Total Expenses: {reg1} penings.
qstr_Kingdom_Economy_Repo|Kingdom Economy Report:^^INCOME:^Tax losses are variable^^{s2}^^^^EXPENSES:^These values could vary because of events or extraordinary expenses.^^{s3}^^^^The result of the accounts of the realm is: {reg0} penings
qstr_{s4}^^{s2}^Relation:|{s4}^^{s2}^Relation: {s3}^Prosperity: {s50}^Rents: {reg0}^Tariffs: {reg1}
qstr_{s5}^^{s2}^Relation:|{s5}^^{s2}^Relation: {s3}^Prosperity: {s50}^Rents: {reg0}^Tariffs: {reg1}
qstr_{s2}^No_information.|{s2}^No information. This village is occupied by bandits.
qstr_{s6}^^{s2}^Relation:|{s6}^^{s2}^Relation: {s3}^Prosperity: {s50}^Rents: {reg0}^Tariffs: {reg1}
qstr_Kingdom_Centers_Repo|Kingdom Centers Report:^^^--Towns-- {s4}^^^^--Forts-- {s5}^^^^--Villages--{s6}^^
qstr_Appoint_next_marshal|Appoint next marshal
qstr_Award_{s12}_as_fief|Award {s12} as fief
qstr_Kingdom_Global_Info:|Kingdom Global Info:^^{s10}^^{s9}
qstr_From_this_area_you_c|From this area you can give the following kingdom orders:
qstr_>_Order_the_army_to_|> Order the army to gather.^^> Order all resources to be focused on the defense of the kingdom.^^> Order the landed levy to be called out. This is done only in situations of common peril or high campaign, as the levy requires all free and most capable men of fighting age to join.
qstr_>_Kingdom_Strategy|> Kingdom Strategy
qstr_You_have_given_the_o|You have given the order that all the household armies of your kingdom lords come to you.
qstr_You_have_given_the_or|You have given the order to make every effort to defend the kingdom.
qstr_The_landed_levy_of_t|The landed levy of the entire kingdom will be called out. Practically every man capable of fighting will join you.
qstr_^^^^^^^^{s2}^^{s3}|^^^^^^^^{s2}^^{s3}
qstr_script_battlegroup_p|script battlegroup place around leader: invalid leader agent (bad call)
qstr_script_battlegroup_pl|script battlegroup place around leader: leader team mismatch (bad call)
qstr_ranks|ranks
qstr_shield_wall|shield wall
qstr_wedge|wedge
qstr_square|square
qstr_up|up
qstr_Not_enough_troops_in|Not enough troops in {s2} to form {s1}.
qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.
qstr_{s1}:_archer_formati|{s1}: archer formation disassembled.
qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.
qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.
qstr_{s1}:_formation_disa|{s1}: formation disassembled.
qstr_Cavalry_formation_di|Cavalry formation disassembled.
qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.
qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.
qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!
qstr_...and_attack_enemy_|...and attack enemy {s1} division!
qstr_{s2}:_returning_afte|{s2}: returning after destroying enemy {s1} division.
qstr_infantry|infantry
qstr_archer|archer
qstr_cavalry|cavalry
qstr_polearm|polearm
qstr_skirmisher|skirmisher
qstr_mounted_archer|mounted archer
qstr_support|support
qstr_bodyguard|bodyguard
qstr_undetermined_type_of|undetermined type of
qstr_battlegroup_get_acti|battlegroup get action radius: negative radius for team {reg0} division {reg1} formation {reg2}
qstr_Lame|Lame
qstr_Swaybacked|Swaybacked
qstr_Timid|Timid
qstr_Meek|Meek
qstr_Stubborn|Stubborn
qstr_Heavy|Heavy
qstr_Spirited|Spirited
qstr_Champion|Champion
qstr_Cracked|Cracked
qstr_Battered|Battered
qstr_Thick|Thick
qstr_Reinforced|Reinforced
qstr_Rusty|Rusty
qstr_Tattered|Tattered
qstr_Ragged|Ragged
qstr_Crude|Crude
qstr_Sturdy|Sturdy
qstr_Hardened|Hardened
qstr_Lordly|Lordly
qstr_Broken|Broken
qstr_Bent|Bent
qstr_Chipped|Chipped
qstr_Strong|Strong
qstr_Balanced|Balanced
qstr_Tempered|Tempered
qstr_Masterwork|Masterwork
qstr_Large_Bag_of|Large Bag of
qstr_Strength.|Strength.
qstr_Shield_skill.|Shield skill.
qstr_Power_Throw_skill.|Power Throw skill.
qstr_Power_Draw_skill.|Power Draw skill.
qstr_Riding_skill.|Riding skill.
qstr_{s2}_needs_{reg1}_mo|{s2} needs {reg1} more {s1}
qstr_You_do_not_have_the_m|You do not have the money to buy the {s0}.
qstr_you|you
qstr_You_place_the_{s0}_t|You place the {s0} that {s1} had been using in your baggage.
qstr_You_dump_a_{s2}_in_o|You dump a {s2} in order to keep the {s0} that {s1} had been using.
qstr_Unable_to_Equip_Item|Unable to Equip Item
qstr_You_need_five_tool_k|You need five tool kits to improve your refuge!
qstr_You_need_five_timber|You need five timber pallets to improve your refuge!
qstr_No_staff_have_been_h|No staff have been hired.
qstr_To_hire_workers_you_|To hire workers, you need to select them from the list. If the list is empty, you may need to increase your renown or improve your refuge for them to come and offer their services.
qstr_Name:_Marcus.|Name: Marcus.
qstr_Occupation:_This_cap|Occupation: This captain is already working for you.
qstr_Occupation:_Captain^|Occupation: Captain^Initial Cost: 500^Weekly cost: 55^Notes: helps manage your refuge and develop the improvements you need.
qstr_Name:_Father_Beda.|Name: Father Beda.
qstr_Occupation:_This_pri|Occupation: This priest is already working for you.
qstr_Occupation:_Priest^I|Occupation: Priest^Initial Cost: 250^Weekly cost: 30^Notes: encourages the practice of Christianity among your troops.
qstr_Name:_Godi_Olafr.|Name: Godi Olafr.
qstr_Occupation:_Godi^Ini|Occupation: Godi^Initial Cost: 250 ^Weekly cost: 30^Notes: encourages the practice of paganism among your troops.
qstr_Name:_Skald_Bragi.|Name: Skald Bragi.
qstr_Occupation:_This_bar|Occupation: This bard is already working for you.
qstr_Occupation:_Skald^In|Occupation: Skald^Initial Cost: 200^Weekly cost: 40^Notes: fills your halls with inspiring Nordic music.
qstr_Name:_Bard_Siwi.|Name: Bard Siwi.
qstr_Occupation:_Bard^Ini|Occupation: Bard^Initial Cost: 200 ^Weekly cost: 40^Notes: fills your halls with inspiring English music.
qstr_Name:_Casius.|Name: Casius.
qstr_Occupation:_This_man|Occupation: This man is already working for you.
qstr_Occupation:_Bottler^|Occupation: Bottler^Initial Cost: 100^Weekly cost: 10^Notes: necessary complement for your mead hall.
qstr_Name:_Suaibsech.|Name: Suaibsech.
qstr_Occupation:_This_wom|Occupation: This woman is already serving you.
qstr_Occupation:_Happy_Wi|Occupation: Happy Widow^Initial Cost: 300^Weekly cost: 25^Notes: The best way to make your men happy.
qstr_Name:_Tancoystl.|Name: Tancoystl.
qstr_Name:_Gulla.|Name: Gulla.
qstr_Occupation:_Happy_Wid|Occupation: Happy Widow^Initial Cost: 150^Weekly cost: 15^Notes: The best way to make your men happy.
qstr_Name:_Eadgyd.|Name: Eadgyd.
qstr_Name:_Haraldr.|Name: Haraldr.
qstr_Occupation:_This_tra|Occupation: This trainer is already working for you.
qstr_Occupation:_Trainer^|Occupation: Trainer^Initial Cost: 450^Weekly cost: 45^Notes: trains your troops.
qstr_Name:_Ulfberht.|Name: Ulfberht.
qstr_Occupation:_This_smi|Occupation: This smith is already working for you.
qstr_Occupation:_Smith^In|Occupation: Smith^Initial Cost: 400^Weekly cost: 40^Notes: makes new weapons for your refuge.
qstr_Name:_The_Hungry_Ham|Name: The Hungry Hammer.
qstr_Occupation:_This_arm|Occupation: This armorer is already working for you.
qstr_Occupation:_Armorer^|Occupation: Armorer^Initial Cost: 400^Weekly cost: 40^Notes: His nickname comes from his voracious appetite for iron, manufacturing all kinds of things.
qstr_Name:_Aurelius.|Name: Aurelius.
qstr_Occupation:_This_phy|Occupation: This physician is already working for you.
qstr_Occupation:_Physicia|Occupation: Physician^Initial Cost: 250^Weekly cost: 15^Notes: patches light wounds.
qstr_Name:_Morgan.|Name: Morgan.
qstr_Name:_Alexander.|Name: Alexander.
qstr_Occupation:_Physician|Occupation: Physician^Initial Cost: 350^Weekly cost: 30^Notes: a highly trained barber who patches light and heavy wounds.
qstr_Name:_Aillil.|Name: Aillil.
qstr_Occupation:_Physician^|Occupation: Physician^Initial Cost: 250^Weekly cost: 30^Notes: patches light wounds.
qstr_Name:_Wamba.|Name: Wamba.
qstr_Occupation:_This_coo|Occupation: This cook is already working for you.
qstr_Occupation:_Cook^Ini|Occupation: Cook^Initial Cost: 350^Weekly cost: 30^Notes: makes feasts for you and your men.
qstr_My_name_is_Beda_the_|My name is Beda the Old, and this is my chronicle of what happened in the times in which I lived...
qstr_They_weren_t_good_ti|They weren't good times. In Anno Domini 861, my master, Bishop Swithunus, died. Before he died, he told me that the end of time was coming.^^In 865 a pagan army attacked Cent. Men from Cent managed to placate them, but under the pretence of peace and the lure of money, the invaders pillaged the country nevertheless.^^Later that year, in East Anglia, a large pagan army made winter quarters. The following summer, King Eadmund, eager to see them off, quickly horsed them. This was no raiding party; it became known as the Great Heathen Army. Thousands of men, led by the sons of Ragnar, had come to stay.^^In 867, the end of time started, as Swithunus had predicted. The Great Heathen Army of Danes went over the mouth of the river Humbre to Eoferwic. They captured the town, and there was an immense slaughter of the Northumbrians. Both kings, Osbert and Aella, were slain. So now the Danish rule the north, imposing their laws and pagan ways... Where is God when you need him?^^In the south, the Friese coast was being devastated by Vikings. Merchant ships fled north, seeking the protection of West Seaxe.^^In Ireland and Wales, the pagans were becoming more powerful each day. Many said that the Dal Riata and land of the Picts would soon be no more...
qstr_BEDA_CHRONICLE^^{s2}^|BEDA CHRONICLE^^{s2}^^{s3}
qstr_The_news_coming_from|The news coming from the north was disturbing. Ragnar's sons were calling men to advance on Mercia. It was still a great army; nonetheless reinforcements from Danmark were expected. God protect us.
qstr_Some_merchants_repor|Some merchants report that Sigurd 'Snake in the Eye' is bringing warriors on hundreds of boats. I overheard some of the king's advisers in Witan Ceaster saying that the Danish want to destroy all the kingdoms of Englaland.^^The only good news I heard was when a messenger informed us that some Danish sent by Jarl Sigurd, Ragnar's son in Danmark, to attack Friese were defeated in Doccinga.^^That was the first time I heard the name of {playername}, who had led the defense of Doccinga.^^Little did I know then that he was going to be an important figure in my life.
qstr_There_was_a_man_call|There was a man called Egbert, or I should say a king, Egbert Cyning, for he was king of Northhymbre. But he was a puppet king, chosen by the Vikings because he was a weak man whom they could handle. Was this the fate that awaited us also?
qstr_In_Anno_Domini_868_t|In Anno Domini 868 the Vikings took Snotingaham. There was fear, much fear, but West Seaxe and Mierce joined forces. Aelfred of West Seaxe, the king's brother, was married to Ealswith, daughter of Aethelred Mucel, ealdorman of the Gaini, and of Eadburh, from the royal line of the king of the Mercians.^^The two realms called the fyrd to war. West Seaxe advanced on Snotingaham from the south, and Mierce joined them on the way. Maybe they could finally put an end to the advance of the sons of Ragnar?^^My life was about to change, but I did not know that.
qstr_I_still_dream_of_Dou|I still dream of Douar-an-Enez when I close my eyes. No man of God should allow such dreams -- it was as if the devil had escaped from prison and taken over the world.
qstr_I_remember_sailing_i|I remember sailing into battle and vomiting several times. My hands were shaking and a painful chill overlaid my spine. I was no warrior, but my fate laid with {playername} and {reg59?her:his} men.If we were defeated, would die with the rest. Fortunately, by some miracle of God, I survived. Too many did not, including Bodo, with whom, I hear, {playername} had shared long time since they met on a ship called the Woden Ric.I figured Bodo would be a great loss for {reg59?her:him} after everything that had happened, but {reg59?her:his} face was imperturbable, and no one dared to ask how {reg59?she:he} felt.^^After the two battles of Douar-an-Enez, we spent a few weeks in the remains of the village, healing the wounded, burying the dead, and recovering all of the past. I really think that this time was when my work was most needed. Many came to me for comfort and to thank me for all my words over the dead.^^Then we sailed back to Englaland, where, we didn't yet know, that the world had changed...
qstr_Maybe_part_of_him_is|Maybe part of him is left in the baby that he had with Thora, daughter of Ulf from Danmark. The boy, named after his father, grows strong and healthy, and promises to be a powerful man someday.
qstr_My_name_is_Beda_and_|My name is Beda, and this book started as a chronicle of a dark time, but the time is not so dreadful, as it was overshadowed by a hero.
qstr_I_was_there_when_the|I was there when the armies of the Saxons and Danes fought at Aescendun. I was there when {playername} changed the course of history. But even this and what happened next pales in importance when the world lost its hero. I remember it like it just happened, when we entered the hall and watched as Sven Bull Neck finished off {playername}'s mother. I remember {reg59?her:his} face. It became ice cold. Neither anger nor fear nor crying; only coldness. I assure you that Sven Bull Neck turned pale because he knew that his death was inevitable. We fought in the hall and Sven died, but that did not change the hardness of the face of {playername}. Neither then nor later, at the funeral of {reg59?her:his} mother, revered like a queen, and buried with rich grave goods in a warship.^^After that day, we lost our hero. {reg59?She:He} said farewell to us, who we had followed {reg59?her:him} from battle to battle, and said {reg59?she:he} was leaving without revealing {reg59?her:his} destination.^^{reg59?She:He} left us, I fear, to never return. I hope I am wrong, because this dark world still stands in need of {reg59?her:his} exploits.
qstr_BEDA_CHRONICLE^^{s2}^^|BEDA CHRONICLE^^{s2}^^{s3}^^{s16}
qstr_Little_news_has_reac|Little news has reached me about the young Caio, I do know for sure that he never returned to Hadrian's Wall, not even to visit his family. Last I heard is that he embarked on a Danish expedition headed to Konstantinoupolis.
qstr_^^Egil_returned_to_R|^^Egil returned to Ribe, his home, made rich by the spoils of his adventure. He spent all his money on women and ale, and ended up dead in a duel shortly thereafter.
qstr_^^Brunhild_married_a|^^Brunhild married a Dane, despite having always hated them, and settled near Jorvik. A merchant told me that currently she is a happy mother with three children.
qstr_^^The_fate_of_Donnac|^^The fate of Donnachdh was dark. He returned to Alban, where he recruited a crew of Scots to pillage the Norwegian merchants in the Sea of Hibernia. The Norwegians of Dubh Linn put a price on his head, gave chase and killed him in a epic battle that the bards still sing about at the court of Alban.
qstr_^^Morgant_returned_t|^^Morgant returned to Cornubia and sought to unite the clans to try to recover the territory of the old kingdom of Dunmonia, but was unsuccessful. Many were simply abandoning their homeland for the other side of the channel, which amazingly enough failed to reduce the many rivalries. In the end, he gave up and retired to the monastery of Petrockstow, where I know he took vows.
qstr_^^Dwywei_was_one_of_|^^Dwywei was one of the few who did not give up after the departure of {playername}, and I know she left in pursuit of him. She loved him despite all that happened, and was willing to travel the world to find him. I don't know if she was successful or if she is even still alive.
qstr_^^Dwywei_despite_all|^^Dwywei, despite all the past, never resigned herself to the departure of {playername}. I heard she left in pursuit of him.
qstr_^^Reginhard_returned|^^Reginhard returned to Dorestad where he married Adda, the shopkeeper, and they had a son named Thiaderd. Their marriage was a happy one, but it didn't last. The latest news say that, tormented by his double betrayal, first of Thiaderd and then of {playername}, he returned to his vice.
qstr_^^About_Clovis_he_re|^^About Clovis, he returned to Frankia where he took land and wife. But he seems to want to forget the past and does not receive my messengers.
qstr_^^The_beautiful_and_|^^The beautiful and indomitable Solveig decided to continue {playername}'s revenge on the family of Sven Bull Neck on her own. She returned to Danmark, where she hunted and killed all the brothers of Sven, along with their families. The Thing sentenced her to death, so now she's hiding somewhere among other bandits and exiles.
qstr_^^The_loeknir_the_ph|^^The loeknir, the physican, Asbjorn returned to Odinsve, the home of his parents, weary of war. He puts his knowledge to use helping cure people, all for just a few penings -- even free to anyone who asks. His fame runs throughout the north, and people worship him like a saint.
qstr_^^Helgi_was_very_fon|^^Helgi was very fond of {playername}, despite all the past, and when she left, he plunged into a terrible depression. The last thing I know is that he went back east and became a Rus, hoping more blood would soothe his grief.
qstr_^^Helgi_became_depre|^^Helgi became depressed after the departure of {playername}. Without clear direction, he marched east and became a Rus, looking for his fate in unending war.
qstr_^^The_Greek_Agathino|^^The Greek, Agathinos, stayed in the north, near Lundenwic. There he got a job rebuilding the old Roman infrastructure. Sometimes I get letters from him. I do not know why we were never friends, but he likes to keep up the relations he made in his past, and I must be the only remnant of another time he has left.
qstr_^^And_that_is_all_wh|^^And that is all what I know about people who served under {playername}.
qstr_After_the_departure_|After the departure of our leader, we, {reg59?her:his} followers, dispersed to the four winds. I hid in a monastery in a remote part of West Seaxe, far from it all. Here I will wait for the end of my days. I pay people to bring me news from outside, especially if they find {playername}, but nobody has seen {reg59?her:him}. However, I've got some little news from others who were with him until the end.
qstr_{s11}{s12}{s13}{s14}|{s11}{s12}{s13}{s14}{s15}{s16}{s17}{s18}{s19}{s20}{s21}{s22}{s23}.
qstr_{s2}^^{s3}^^I_hope_m|{s2}^^{s3}^^I hope my writings serve to keep {playername} in history. The {reg59?lady:man} who started from nothing, on a ship called the Woden Ric, and rose to be a warlord who was able to put in check the powers of {reg59?her:his} time. {reg59?She:He} it was who killed the dreaded Sven Bull Neck and could be measured face to face with the most powerful men, like the sons of Ragnar and the kings of West Seaxe.^^May the world remember {playername} when the rest of us have all perished.
qstr_The_{s1}_and_the_{s2}|The {s1} and the {s2} have entered into an alliance with each other.
qstr_The_{s15}_complies_wi|The {s15} complies with the new alliance by attacking the {s16}.
qstr_The_supply_box_will_|The supply box will be available {reg1?after {reg0} rounds:next round}.
qstr_beaufort:_{reg1}|beaufort: {reg1}
qstr_TEST:_wind_created_a|TEST: wind created and rotated by {reg8} degree.
qstr_season_light_set|season light set
qstr_Shoes_are_included_w|Shoes are included with floor-length clothing. Additional foot armor is being discarded for {s0}.
qstr_Head_armor_cannot_be|Head armor cannot be used with hoods and is being discarded for {s0}.
qstr_alpha|alpha
qstr_wave_timer:_{reg1}|wave timer: {reg1}
qstr_Y:_WaveLength:{reg4}|Y: WaveLength:{reg4}cm WaveHight:{reg2}cm WaveSpeed: {reg5}
qstr_X:_WaveLength:{reg3}|X: WaveLength:{reg3}m WaveHight:{reg1}cm
qstr_TEST:_startup_battle|TEST: startup battle size = {reg7}, fleet distance = {reg8}
qstr_You_have_fallen.__Pr|You have fallen. (Press tab key to leave)
qstr_Ships|Ships
qstr_Camera_follow_terrai|Camera follow terrain mode ON.
qstr_Camera_follow_terrain|Camera follow terrain mode OFF.
qstr_Camera_rotate_before|Camera rotate before pan ON.
qstr_Camera_rotate_before_|Camera rotate before pan OFF.
qstr_Strategy_Camera|Strategy Camera
qstr_Death_Camera|Death Camera
qstr_shader_timer_on:_{re|shader timer on: {reg1}
qstr_animation_on:_{reg1}|animation on: {reg1}
qstr_lightning_cycle:_{re|lightning cycle: {reg1}
qstr_You_can_give_the_com|You can give the command to row forward, fast forward, backwards, or stay. The up and down arrow keys switch between these commands.^You can also give the command to go straight, starboard, hard starboard, port or hard port. The left and right arrow keys switch between these commands.^Current commands are represented by arrows around the representation of your ship in the upper right corner.^Press Enter to set the sail and backspace to get a wide view of the scene.
qstr_Ship_Control|Ship Control
qstr_You_are_so_tired_you|You are so tired you can barely move a muscle. You can inflict only half damage, and you can't run.
qstr_You_suffer_a_serious|You suffer a serious injury to your head. (-1 intelligence)
qstr_You_suffer_a_serious_|You suffer a serious injury to your face. (-1 charisma)
qstr_You_suffer_a_serious_i|You suffer a serious injury to one of your limbs. (-1 agility)
qstr_You_suffer_a_serious_in|You suffer a serious injury to your body. (-1 strength)
qstr_Your_weapon_broke!|Your weapon broke!
qstr_Your_weapon_was_dama|Your weapon was damaged!
qstr_You_take_1_damage_fr|You take 1 damage from blood loss.
qstr_You_have_received_{reg|You have received {reg5} critical damage to your head and will lose vision very soon!
qstr_You_have_received_{reg5|You have received {reg5} critical damage to your body!
qstr_You_have_caused_{reg|You have caused {reg5} critical extra damage!
qstr_You_have_caused_{reg5|You have caused {reg5} critical damage to your enemy from behind!
qstr_You_have_received_{reg5}|You have received {reg5} critical damage from behind!
qstr_MENU_ERROR:_CAM!|MENU ERROR: CAM!
qstr_You_have_obtained_th|You have obtained the prison keys.
qstr_TEST:_Banner_courage|TEST: Banner courage bonus applied!
qstr_We_lost_a_quarter_of|We lost a quarter of our troops in a very short time. The hearts of our troops are filled with fear.
qstr_Half_of_our_army_has|Half of our army has fallen within a very short time. The troops panic!
qstr_The_enemy_lost_a_qua|The enemy lost a quarter of his troops in a very short time. The hearts of his troops are filled with fear.
qstr_Half_of_the_enemy_ar|Half of the enemy army has fallen within a very short time. His troops panic.
qstr_TEST:_ally_delta_cou|TEST: ally delta courage = {reg1}, enemy delta courage = {reg2}
qstr_You_fall_and_your_tr|You fall and your troops panic!
qstr_Our_side_lost_a_lead|Our side lost a leader. Our troops panic!
qstr_The_enemy_lost_a_lea|The enemy lost a leader. Their troops panic!
qstr__{reg3}| {reg3}
qstr_Scout_report:_We_ve_|Scout report: We've reached an ancient monument -- rows of stones -- but the real obstacle is the enemy lined up beyond the brook.^^You reply: Rows of stones you say? Let us make them tomb stones for the enemy then!
qstr_Scout_report:_A_bog_|Scout report: A bog lies before us, so we must be wary. Stay on the path!^^A man tugs on your sleeve: What is that in the trees up ahead? Evil lurks here.
qstr_While_exploring_an_a|While exploring an abandoned Roman fort, the scout informs you: Commander, we can not linger here much longer. The enemy is spotted behind the hill. What are your orders?
qstr_Stretched_out_before|Stretched out before you as far as the eye can see stand the remains of a once great wall. The enemy has taken up position just on the other side.^^A witty person next to you mutters: Let's hope it will protect us better than it did the Romans.
qstr_The_scout_returns_an|The scout returns and informs you, 'The enemy is spotted behind the village. The villagers have fled the fields and sought safety in one of the houses. They know all too well the horrors of war.'^^'As do we... As do we...' you find yourself mumbling.
qstr_Formations_turned_OF|Formations turned OFF in options menu
qstr_All_around_you_unfol|All around you unfolds God's world, Ora et Labora, where men wear the habit. They are busy with their work, stopping only to eat, sleep or pray.
qstr_You_must_stay_behind|You must stay behind the line on the ground! The point doesn't count.
qstr_Tutorial|Tutorial
qstr_{s0}^^{s1}|{s0}^^{s1}
qstr_Everybody_back_on_th|Everybody back on the ship! Hurry!
qstr_Sea_Info_Tutorial|Sea Info Tutorial
qstr_A_huskarl_shouts__Me|A huskarl shouts, 'Men! listen! Hold the line, and we will win! Those who come are only Vikings. We are Danish warriors!'
qstr_A_huskarl_shouts__Th|A huskarl shouts, 'Thor! Hear our battlecry and prepare the Valkyries! Tonight we dine in your halls!'
qstr_From_the_boat_you_se|From the boat, you see that men fight on the hill. You can make out Bodo between them, beset by enemies, fighting for his life...
qstr_Harald_calls_out:_Co|Harald calls out: Come on! Hurry! We don't have all day. Look at the slaves already and meet me!
qstr_The_stranger_shouts:|The stranger shouts: 'Heill! My name is Olvir, known as White Hair. So you're the one seeking my brother, Sven, known as Bull Neck. Well, I do not care. I have come solely on behalf of Sigurd Ragnarsson, to exchange your mother for the man called Bodo.'
qstr_The_stranger_shouts:_|The stranger shouts: 'Heill! My name is Olvir, known as White Hair. So you're the one seeking my brother, Sven, known as Bull Neck. Well, I do not care. I have come solely on behalf of Sigurd Ragnarsson, to give you your mother.'
qstr_Egil_yells__Heill_Ol|Egil yells, 'Heill Olvir White Hair! I have heard of you and your agreements with Loki. Let my friend join {reg59?her:his} mother before continuing this conversation.'
qstr_Olvir_shouts:__Sure_|Olvir shouts: 'Sure, Egil, king's bastard, I have heard of you, too, and I see that you have become the mouth of {playername}, the traitor of Kennemer. He is free to talk to our prisoner. I will send her to you.'
qstr_Mission:_Speak_to_yo|Mission: Speak to your mother.
qstr_Suddenly_Olvir_shout|Suddenly Olvir shouts: 'Men. Shield wall. Now! By Ragnar! By Sigurd! By Odin! Death to our enemies!
qstr_The_old_hero_is_too_|The old hero is too much for you. You fall in a puddle of blood, and your vision slowly fades away...
qstr_The_old_hero_is_too_m|The old hero is too much for you. You lie battered and wounded at his feet. Only the mercy of the old hero keeps him from killing you.
qstr_You_have_beaten_the_|You have beaten the old hero, so beginning your journey into legend.
qstr_Beda_cries_out__Oh_m|Beda cries out, 'Oh my God! Oh my God! I heard a noise! They've followed me! Sven's men have followed me! God save us!'
qstr_Something_is_moving_|Something is moving in the undergrowth...
qstr_The_old_captain_is_t|The old captain is too much for you. You fall in a puddle of blood, and your vision slowly fades away...
qstr_The_old_captain_is_to|The old captain is too much for you. You lie battered and wounded at his feet. Only the mercy of the old captain keeps him from killing you.
qstr_You_have_beaten_the_o|You have beaten the old captain, so beginning your journey into legend.
qstr_Today_is_a_good_day_|Today is a good day to die, is not it?'
qstr_The_battle_against_t|The battle against the bandits was hard, but you've risen to victory. Picking through the remains of the hole they were digging between the rocks, you find a fortune in money.
