
itm_no_item|Нет предмета
itm_sarranid_mail_coif_pl|Сарранидские кольчужные капюшоны
itm_sarranid_veiled_helmet|Сарранидский закрытый шлем
itm_sarranid_veiled_helmet_pl|Сарранидские закрытые шлемы
itm_nordic_archer_helmet|Нордский кожаный шлем
itm_nordic_archer_helmet_pl|Нордские кожаные шлемы
itm_nordic_veteran_archer_helmet|Нордский кожаный шлем
itm_nordic_veteran_archer_helmet_pl|Нордские кожаные шлемы
itm_nordic_footman_helmet|Нордский шлем пехотинца
itm_nordic_footman_helmet_pl|Нордские шлемы пехотинцев
itm_nordic_fighter_helmet|Нордский шлем воина
itm_nordic_fighter_helmet_pl|Нордские шлемы воинов
itm_nordic_huscarl_helmet|Нордский шлем хускарла
itm_nordic_huscarl_helmet_pl|Нордские шлемы хускарлов
itm_nordic_warlord_helmet|Нордский шлем военачальника
itm_nordic_warlord_helmet_pl|Нордские шлемы военачальников
itm_vaegir_fur_cap|Шапочка с мехом
itm_vaegir_fur_cap_pl|Шапочки с мехом
itm_vaegir_fur_helmet|Вегирский шлем
itm_vaegir_fur_helmet_pl|Вегирские шлемы
itm_vaegir_spiked_helmet|Островерхая шапка
itm_vaegir_spiked_helmet_pl|Островерхие шапки
itm_vaegir_lamellar_helmet|Шлем с ламеллярной бармицей
itm_vaegir_lamellar_helmet_pl|Шлемы с ламеллярной бармицей
itm_vaegir_noble_helmet|Шлем вегирской знати
itm_vaegir_noble_helmet_pl|Шлемы вегирской знати
itm_vaegir_war_helmet|Вегирский солдатский шлем
itm_vaegir_war_helmet_pl|Вегирские солдатские шлемы
itm_vaegir_mask|Вегирская боевая маска
itm_vaegir_mask_pl|Вегирские боевые маски
itm_bascinet|Бацинет
itm_bascinet_pl|Бацинеты
itm_bascinet_2|Бацинет с забралом
itm_bascinet_2_pl|Бацинеты с забралами
itm_bascinet_3|Бацинет с наносником
itm_bascinet_3_pl|Бацинеты с наносниками
itm_guard_helmet|Шлем стражника
itm_guard_helmet_pl|Шлемы стражников
itm_black_helmet|Черный шлем
itm_black_helmet_pl|Черные шлемы
itm_full_helm|Полный шлем
itm_full_helm_pl|Полные шлемы
itm_great_helmet|Закрытый шлем
itm_great_helmet_pl|Закрытые шлемы
itm_winged_great_helmet|Крылатый закрытый шлем
itm_winged_great_helmet_pl|Крылатые закрытые шлемы
itm_wooden_stick|Деревянная палка
itm_wooden_stick_pl|Деревянные палки
itm_cudgel|Дубина
itm_cudgel_pl|Дубины
itm_hammer|Молот
itm_hammer_pl|Молоты
itm_club|Палица
itm_club_pl|Палицы
itm_winged_mace|Шестопер
itm_winged_mace_pl|Шестоперы
itm_spiked_mace|Булава
itm_spiked_mace_pl|Булавы
itm_military_hammer|Чекан
itm_military_hammer_pl|Чеканы
itm_maul|Булава
itm_maul_pl|Булавы
itm_sledgehammer|Кузнечный молот
itm_sledgehammer_pl|Кузнечные молоты
itm_warhammer|Боевой молот
itm_warhammer_pl|Боевые молоты
itm_pickaxe|Кирка
itm_pickaxe_pl|Кирки
itm_spiked_club|Тяжелый шестопер
itm_spiked_club_pl|Тяжелые шестоперы
itm_fighting_pick|Боевой клевец
itm_fighting_pick_pl|Боевые клевцы
itm_military_pick|Клевец
itm_military_pick_pl|Клевец
itm_morningstar|Моргенштерн
itm_morningstar_pl|Моргенштерны
itm_sickle|Серп
itm_sickle_pl|Серпы
itm_cleaver|Секач
itm_cleaver_pl|Секачи
itm_knife|Нож
itm_knife_pl|Ножи
itm_butchering_knife|Нож мясника
itm_butchering_knife_pl|Нож мясника
itm_dagger|Кинжал
itm_dagger_pl|Кинжалы
itm_falchion|Фальшион
itm_falchion_pl|Фальшионы
itm_scimitar|Ятаган
itm_scimitar_pl|Ятаганы
itm_scimitar_b|Элитный ятаган
itm_scimitar_b_pl|Элитный ятаган
itm_arabian_sword_a|Сарранидский меч
itm_arabian_sword_a_pl|Сарранидские мечи
itm_arabian_sword_b|Сарранидский одноручный меч
itm_arabian_sword_b_pl|Сарранидские одноручные мечи
itm_sarranid_cavalry_sword|Сарранидский кавалерийский меч
itm_sarranid_cavalry_sword_pl|Сарранидские кавалерийские мечи
itm_arabian_sword_d|Меч сарранидской стражи
itm_arabian_sword_d_pl|Мечи сарранидской стражи
itm_great_sword|Большой меч
itm_great_sword_pl|Большие мечи
itm_sword_of_war|Эспадон
itm_sword_of_war_pl|Эспадоны
itm_hatchet|Топорик
itm_hatchet_pl|Топорики
itm_hand_axe|Короткий топор
itm_hand_axe_pl|Короткие топоры
itm_fighting_axe|Боевой топор
itm_fighting_axe_pl|Боевые топоры
itm_axe|Топор
itm_axe_pl|Топоры
itm_voulge|Алебарда
itm_voulge_pl|Алебарды
itm_battle_axe|Секира
itm_battle_axe_pl|Секиры
itm_war_axe|Солдатский топор
itm_war_axe_pl|Солдатские топоры
itm_sword_two_handed_b|Двуручный меч
itm_sword_two_handed_b_pl|Двуручные мечи
itm_sword_two_handed_a|Большой двуручный меч
itm_sword_two_handed_a_pl|Большие двуручные мечи
itm_khergit_sword_two_handed_a|Двуручная сабля
itm_khergit_sword_two_handed_a_pl|Двуручные сабли
itm_khergit_sword_two_handed_b|Двуручная сабля
itm_khergit_sword_two_handed_b_pl|Двуручные сабли
itm_two_handed_cleaver|Войсковой тесак
itm_two_handed_cleaver_pl|Войсковые тесаки
itm_military_cleaver_b|Тесак солдата
itm_military_cleaver_b_pl|Тесаки солдата
itm_military_cleaver_c|Боевой тесак
itm_military_cleaver_c_pl|Боевые тесаки
itm_military_sickle_a|Боевой серп
itm_military_sickle_a_pl|Боевые серпы
itm_bastard_sword_a|Полуторный меч
itm_bastard_sword_a_pl|Полуторные мечи
itm_bastard_sword_b|Тяжелый полуторный меч
itm_bastard_sword_b_pl|Тяжелые полуторный мечи
itm_one_handed_war_axe_a|Одноручный солдатский топор
itm_one_handed_war_axe_a_pl|Одноручные солдатские топоры
itm_one_handed_battle_axe_a|Одноручная секира
itm_one_handed_battle_axe_a_pl|Одноручные секиры
itm_one_handed_war_axe_b|Одноручный солдатский топор
itm_one_handed_war_axe_b_pl|Одноручные солдатские топоры
itm_one_handed_battle_axe_b|Одноручная секира
itm_one_handed_battle_axe_b_pl|Одноручные секиры
itm_one_handed_battle_axe_c|Одноручная секира
itm_one_handed_battle_axe_c_pl|Одноручные секиры
itm_two_handed_axe|Двуручный топор
itm_two_handed_axe_pl|Двуручные топоры
itm_two_handed_battle_axe_2|Двуручный солдатский топор
itm_two_handed_battle_axe_2_pl|Двуручные солдатские топоры
itm_shortened_voulge|Укороченная алебарда
itm_shortened_voulge_pl|Укороченные алебарды
itm_great_axe|Большой топор
itm_great_axe_pl|Большие топоры
itm_long_axe|Длинный топор
itm_long_axe_pl|Длинные топоры
itm_long_axe_alt|Длинный топор
itm_long_axe_alt_pl|Длинные топоры
itm_long_axe_b|Длинный боевой топор
itm_long_axe_b_pl|Длинные боевые топоры
itm_long_axe_b_alt|Длинный боевой топор
itm_long_axe_b_alt_pl|Длинные боевые топоры
itm_long_axe_c|Топор берсерка
itm_long_axe_c_pl|Топор берсерка
itm_long_axe_c_alt|Топор берсерка
itm_long_axe_c_alt_pl|Топор берсерка
itm_bardiche|Бердыш
itm_bardiche_pl|Бердыши
itm_great_bardiche|Большой бердыш
itm_great_bardiche_pl|Большие бердыши
itm_long_bardiche|Длинный бердыш
itm_long_bardiche_pl|Длинные бердыши
itm_great_long_bardiche|Большой длинный бердыш
itm_great_long_bardiche_pl|Большие длинные бердыши
itm_hafted_blade_b|Клинок
itm_hafted_blade_b_pl|Клинки
itm_hafted_blade_a|Клинок
itm_hafted_blade_a_pl|Клинки
itm_shortened_military_scythe|Укороченная боевая коса
itm_shortened_military_scythe_pl|Укороченные боевые косы
itm_sword_medieval_a|Меч
itm_sword_medieval_a_pl|Мечи
itm_sword_medieval_b|Меч
itm_sword_medieval_b_pl|Мечи
itm_sword_medieval_b_small|Короткий меч
itm_sword_medieval_b_small_pl|Короткие мечи
itm_sword_medieval_c|Одноручный меч
itm_sword_medieval_c_pl|Одноручные мечи
itm_sword_medieval_c_small|Короткий одноручный меч
itm_sword_medieval_c_small_pl|Короткие одноручные мечи
itm_sword_medieval_c_long|Одноручный меч
itm_sword_medieval_c_long_pl|Одноручный меч
itm_sword_medieval_d_long|Средневековый длинный меч
itm_sword_medieval_d_long_pl|Средневековые длинные мечи
itm_sword_viking_1|Северный меч
itm_sword_viking_1_pl|Северные мечи
itm_sword_viking_2|Северный меч
itm_sword_viking_2_pl|Северные мечи
itm_sword_viking_2_small|Короткий северный меч
itm_sword_viking_2_small_pl|Короткие северные мечи
itm_sword_viking_3|Северный меч
itm_sword_viking_3_pl|Северные мечи
itm_sword_viking_3_small|Короткий северный меч
itm_sword_viking_3_small_pl|Короткие северные мечи
itm_sword_khergit_1|Палаш
itm_sword_khergit_1_pl|Палаши
itm_sword_khergit_2|Сабля
itm_sword_khergit_2_pl|Сабли
itm_sword_khergit_3|Сабля
itm_sword_khergit_3_pl|Сабли
itm_sword_khergit_4|Тяжелая сабля
itm_sword_khergit_4_pl|Тяжелые сабли
itm_mace_1|Тяжелый шестопер
itm_mace_1_pl|Тяжелые шестоперы
itm_mace_2|Жезл
itm_mace_2_pl|Жезлы
itm_mace_3|Шипастая палица
itm_mace_3_pl|Шипастые палицы
itm_mace_4|Пернач
itm_mace_4_pl|Перначи
itm_club_with_spike_head|Дубина с шипами
itm_club_with_spike_head_pl|Дубины с шипами
itm_long_spiked_club|Длинная палица
itm_long_spiked_club_pl|Длинные палицы
itm_long_hafted_knobbed_mace|Длинный жезл
itm_long_hafted_knobbed_mace_pl|Длинные жезлы
itm_long_hafted_spiked_mace|Длинная булава
itm_long_hafted_spiked_mace_pl|Длинные булавы
itm_sarranid_two_handed_mace_1|Железная булава
itm_sarranid_two_handed_mace_1_pl|Железные булавы
itm_sarranid_mace_1|Железная булава
itm_sarranid_mace_1_pl|Железные булавы
itm_sarranid_axe_a|Железный боевой топор
itm_sarranid_axe_a_pl|Железные боевые топоры
itm_sarranid_axe_b|Железный солдатский топор
itm_sarranid_axe_b_pl|Железные солдатские топоры
itm_sarranid_two_handed_axe_a|Сарранидский боевой топор
itm_sarranid_two_handed_axe_a_pl|Сарранидские боевые топоры
itm_sarranid_two_handed_axe_b|Сарранидский солдатский топор
itm_sarranid_two_handed_axe_b_pl|Сарранидские солдатские топоры
itm_scythe|Коса
itm_scythe_pl|Коса
itm_pitch_fork|Рогатина
itm_pitch_fork_pl|Рогатины
itm_military_fork|Солдатские вилы
itm_military_fork_pl|Солдатские вилы
itm_battle_fork|Боевые вилы
itm_battle_fork_pl|Боевые вилы
itm_boar_spear|Протазан
itm_boar_spear_pl|Протазан
itm_jousting_lance|Турнирная кавалерийская пика
itm_jousting_lance_pl|Турнирные кавалерийские пики
itm_double_sided_lance|Двусторонняя кавалерийская пика
itm_double_sided_lance_pl|Двусторонние кавалерийские пики
itm_glaive|Глефа
itm_glaive_pl|Глефы
itm_poleaxe|Кавалерийский топор
itm_poleaxe_pl|Кавалерийские топоры
itm_polehammer|Древковый молот
itm_polehammer_pl|Древковые молоты
itm_staff|Посох
itm_staff_pl|Посохи
itm_quarter_staff|Окованный посох
itm_quarter_staff_pl|Окованные посохи
itm_iron_staff|Железный посох
itm_iron_staff_pl|Железные посохи
itm_shortened_spear|Укороченное копье
itm_shortened_spear_pl|Укороченные копья
itm_spear|Копье
itm_spear_pl|Копья
itm_bamboo_spear|Бамбуковое копье
itm_bamboo_spear_pl|Бамбуковые копья
itm_war_spear|Боевое копье
itm_war_spear_pl|Боевые копья
itm_military_scythe|Боевая коса
itm_military_scythe_pl|Боевая коса
itm_light_lance|Легкая кавалерийская пика
itm_light_lance_pl|Легкие кавалерийские пики
itm_lance|Кавалерийская пика
itm_lance_pl|Кавалерийские пики
itm_heavy_lance|Тяжелая кавалерийская пика
itm_heavy_lance_pl|Тяжелые кавалерийские пики
itm_great_lance|Большая кавалерийская пика
itm_great_lance_pl|Большие кавалерийские пики
itm_pike|Пика
itm_pike_pl|Пики
itm_ashwood_pike|Ясеневая пика
itm_ashwood_pike_pl|Ясеневые пики
itm_awlpike|Альшпис
itm_awlpike_pl|Альшписы
itm_awlpike_long|Длинный альшпис
itm_awlpike_long_pl|Длинные альшписы
itm_bec_de_corbin_a|Бек де корбин 1
itm_bec_de_corbin_a_pl|Бек де корбины 1
itm_wooden_shield|Деревянный щит
itm_wooden_shield_pl|Деревянные щиты
itm_nordic_shield|Северный щит
itm_nordic_shield_pl|Северные щиты
itm_fur_covered_shield|Обтянутый кожей щит
itm_fur_covered_shield_pl|Обтянутые кожей щиты
itm_steel_shield|Стальной щит
itm_steel_shield_pl|Стальные щиты
itm_plate_covered_round_shield|Окованный круглый щит
itm_plate_covered_round_shield_pl|Окованные круглые щиты
itm_leather_covered_round_shield|Обтянутый кожей круглый щит
itm_leather_covered_round_shield_pl|Обтянутые кожей круглые щиты
itm_hide_covered_round_shield|Обтянутый сыромятной кожей щит
itm_hide_covered_round_shield_pl|Обтянутые сыромятной кожей щиты
itm_shield_heater_c|Тарч
itm_shield_heater_c_pl|Тарчи
itm_norman_shield_1|Каплевидный щит
itm_norman_shield_1_pl|Каплевидные щиты
itm_norman_shield_2|Каплевидный щит
itm_norman_shield_2_pl|Каплевидные щиты
itm_norman_shield_3|Каплевидный щит
itm_norman_shield_3_pl|Каплевидные щиты
itm_norman_shield_4|Каплевидный щит
itm_norman_shield_4_pl|Каплевидные щиты
itm_norman_shield_5|Каплевидный щит
itm_norman_shield_5_pl|Каплевидные щиты
itm_norman_shield_6|Каплевидный щит
itm_norman_shield_6_pl|Каплевидные щиты
itm_norman_shield_7|Каплевидный щит
itm_norman_shield_7_pl|Каплевидные щиты
itm_norman_shield_8|Каплевидный щит
itm_norman_shield_8_pl|Каплевидные щиты
itm_tab_shield_round_a|Старый круглый щит
itm_tab_shield_round_a_pl|Старые круглые щиты
itm_tab_shield_round_b|Простой круглый щит
itm_tab_shield_round_b_pl|Простые круглые щиты
itm_tab_shield_round_c|Круглый щит
itm_tab_shield_round_c_pl|Круглые щиты
itm_tab_shield_round_d|Тяжелый круглый щит
itm_tab_shield_round_d_pl|Тяжелые круглые щиты
itm_tab_shield_round_e|Круглый щит хускарла
itm_tab_shield_round_e_pl|Круглые щиты хускарлов
itm_tab_shield_kite_a|Старый каплевидный щит
itm_tab_shield_kite_a_pl|Старые каплевидные щиты
itm_tab_shield_kite_b|Простой каплевидный щит
itm_tab_shield_kite_b_pl|Простые каплевидные щиты
itm_tab_shield_kite_c|Каплевидный щит
itm_tab_shield_kite_c_pl|Каплевидные щиты
itm_tab_shield_kite_d|Тяжелый каплевидный щит
itm_tab_shield_kite_d_pl|Тяжелые каплевидные щиты
itm_tab_shield_kite_cav_a|Кавалерийский каплевидный щит
itm_tab_shield_kite_cav_a_pl|Кавалерийские каплевидные щиты
itm_tab_shield_kite_cav_b|Рыцарский каплевидный щит
itm_tab_shield_kite_cav_b_pl|Рыцарские каплевидные щиты
itm_tab_shield_heater_a|Старый тарч
itm_tab_shield_heater_a_pl|Старые тарчи
itm_tab_shield_heater_b|Обычный тарч
itm_tab_shield_heater_b_pl|Обычные тарчи
itm_tab_shield_heater_c|Тарч
itm_tab_shield_heater_c_pl|Тарчи
itm_tab_shield_heater_d|Тяжелый тарч
itm_tab_shield_heater_d_pl|Тяжелые тарчи
itm_tab_shield_heater_cav_a|Кавалерийский тарч
itm_tab_shield_heater_cav_a_pl|Кавалерийские тарчи
itm_tab_shield_heater_cav_b|Рыцарский тарч
itm_tab_shield_heater_cav_b_pl|Рыцарские тарчи
itm_tab_shield_pavise_a|Старая павеза
itm_tab_shield_pavise_a_pl|Старые павезы
itm_tab_shield_pavise_b|Обычная павеза
itm_tab_shield_pavise_b_pl|Обычные павезы
itm_tab_shield_pavise_c|Павеза
itm_tab_shield_pavise_c_pl|Павезы
itm_tab_shield_pavise_d|Тяжелая павеза
itm_tab_shield_pavise_d_pl|Тяжелые павезы
itm_tab_shield_small_round_a|Простой кавалерийский щит
itm_tab_shield_small_round_a_pl|Простые кавалерийские щиты
itm_tab_shield_small_round_b|Круглый кавалерийский щит
itm_tab_shield_small_round_b_pl|Круглые кавалерийские щиты
itm_tab_shield_small_round_c|Щит конной гвардии
itm_tab_shield_small_round_c_pl|Щиты конной гвардии
itm_darts|Сулица
itm_darts_pl|Сулицы
itm_war_darts|Боевая сулица
itm_war_darts_pl|Боевые сулицы
itm_javelin|Дротики
itm_javelin_pl|Дротики
itm_javelin_melee|Дротик
itm_javelin_melee_pl|Дротики
itm_throwing_spears|Метательные копья
itm_throwing_spears_pl|Метательные копья
itm_throwing_spear_melee|Метательные копья
itm_throwing_spear_melee_pl|Метательные копья
itm_jarid|Джарид
itm_jarid_pl|Джариды
itm_jarid_melee|Джарид
itm_jarid_melee_pl|Джариды
itm_stones|Камни
itm_stones_pl|Камни
itm_throwing_knives|Метательные ножи
itm_throwing_knives_pl|Метательные ножи
itm_throwing_daggers|Метательные кинжалы
itm_throwing_daggers_pl|Метательные кинжалы
itm_light_throwing_axes|Легкие метательные топоры
itm_light_throwing_axes_pl|Легкие метательные топоры
itm_light_throwing_axes_melee|Легкие метательные топоры
itm_light_throwing_axes_melee_pl|Легкие метательные топоры
itm_throwing_axes|Метательные топоры
itm_throwing_axes_pl|Метательные топоры
itm_throwing_axes_melee|Метательные топоры
itm_throwing_axes_melee_pl|Метательные топоры
itm_heavy_throwing_axes|Тяжелые метательные топоры
itm_heavy_throwing_axes_pl|Тяжелые метательные топоры
itm_heavy_throwing_axes_melee|Тяжелый метательный топор
itm_heavy_throwing_axes_melee_pl|Тяжелые метательные топоры
itm_hunting_bow|Охотничий лук
itm_hunting_bow_pl|Охотничьи луки
itm_short_bow|Короткий лук
itm_short_bow_pl|Короткие луки
itm_nomad_bow|Лук кочевника
itm_nomad_bow_pl|Луки кочевников
itm_long_bow|Длинный лук
itm_long_bow_pl|Длинные луки
itm_khergit_bow|Хергитский лук
itm_khergit_bow_pl|Хергитские луки
itm_strong_bow|Тугой лук
itm_strong_bow_pl|Тугие луки
itm_war_bow|Боевой лук
itm_war_bow_pl|Боевые луки
itm_hunting_crossbow|Охотничий арбалет
itm_hunting_crossbow_pl|Охотничьи арбалеты
itm_light_crossbow|Легкий арбалет
itm_light_crossbow_pl|Легкие арбалеты
itm_crossbow|Арбалет
itm_crossbow_pl|Арбалеты
itm_heavy_crossbow|Тяжелый арбалет
itm_heavy_crossbow_pl|Тяжелые арбалеты
itm_sniper_crossbow|Осадный арбалет
itm_sniper_crossbow_pl|Осадные арбалеты
itm_flintlock_pistol|Ударно-кремневый пистолет
itm_flintlock_pistol_pl|Ударно-кремневые пистолеты
itm_torch|Факел
itm_torch_pl|Факелы
itm_lyre|Лира
itm_lyre_pl|Лиры
itm_lute|Лютня
itm_lute_pl|Лютни
itm_strange_armor|Необычный доспех
itm_strange_armor_pl|Необычные доспехи
itm_strange_boots|Необычные сапоги
itm_strange_boots_pl|Необычные сапоги
itm_strange_helmet|Необычный шлем
itm_strange_helmet_pl|Необычные шлемы
itm_strange_sword|Необычный меч
itm_strange_sword_pl|Необычные мечи
itm_strange_great_sword|Необычный большой меч
itm_strange_great_sword_pl|Необычные большие мечи
itm_strange_short_sword|Необычный короткий меч
itm_strange_short_sword_pl|Необычные короткие мечи
itm_court_dress|Судейская мантия
itm_court_dress_pl|Судейские мантии
itm_rich_outfit|Богатое платье
itm_rich_outfit_pl|Богатые платья
itm_khergit_guard_armor|Доспех хергитской стражи
itm_khergit_guard_armor_pl|Доспехи хергитской стражи
itm_felt_steppe_cap|Войлочная шапка степняка
itm_felt_steppe_cap_pl|Войлочные шапки степняков
itm_khergit_war_helmet|Хергитский боевой шлем
itm_khergit_war_helmet_pl|Хергитские боевые шлемы
itm_khergit_helmet|Хергитский шлем
itm_khergit_helmet_pl|Хергитские шлемы
itm_khergit_guard_boots|Сапоги хергитской стражи
itm_khergit_guard_boots_pl|Сапоги хергитской стражи
itm_khergit_guard_helmet|Шлем хергитской стражи
itm_khergit_guard_helmet_pl|Шлемы хергитской стражи
itm_khergit_cavalry_helmet|Хергитский кавалерийский шлем
itm_khergit_cavalry_helmet_pl|Хергитский кавалерийский шлем
itm_black_hood|Черный капюшон
itm_black_hood_pl|Черные капюшоны
itm_light_leather|Кожаный кафтан
itm_light_leather_pl|Кожаные кафтаны
itm_light_leather_boots|Сапоги из легкой кожи
itm_light_leather_boots_pl|Сапоги из легкой кожи
itm_mail_and_plate|Кольчуга и броня
itm_mail_and_plate_pl|Кольчуга и броня
itm_light_mail_and_plate|Легкая кольчуга и броня
itm_light_mail_and_plate_pl|Легкая кольчуга и броня
itm_byzantion_helmet_a|Левантский шлем
itm_byzantion_helmet_a_pl|Левантские шлемы
itm_magyar_helmet_a|Мадьярский шлем
itm_magyar_helmet_a_pl|Мадьярские шлемы
itm_rus_helmet_a|Славский шлем
itm_rus_helmet_a_pl|Славские шлемы
itm_sipahi_helmet_a|Сипахский шлем
itm_sipahi_helmet_a_pl|Сипахские шлемы
itm_shahi|Шлем шахи
itm_shahi_pl|Шлемы шахи
itm_rabati|Шлем рабати
itm_rabati_pl|Шлемы рабати
itm_tunic_with_green_cape|Туника с зеленым капюшоном
itm_tunic_with_green_cape_pl|Туники с зелеными капюшонами
itm_keys|Связка ключей
itm_keys_pl|Связки ключей
itm_bride_dress|Платье невесты
itm_bride_dress_pl|Платья невесты
itm_bride_crown|Цветочный венок
itm_bride_crown_pl|Цветочные венки
itm_bride_shoes|Туфли невесты
itm_bride_shoes_pl|Туфли невесты
itm_practice_bow_2|Учебный лук
itm_practice_bow_2_pl|Учебный лук
itm_practice_arrows_2|Учебные стрелы
itm_practice_arrows_2_pl|Учебные стрелы
itm_plate_boots|Латные башмаки
itm_plate_boots_pl|Латные башмаки
itm_mail_boots_for_tableau|Кольчужные сапоги
itm_mail_boots_for_tableau_pl|Кольчужные сапоги
itm_warhorse_sarranid|Сарранидский боевой конь
itm_warhorse_sarranid_pl|Сарранидский боевой конь
itm_warhorse_steppe|Степной боевой конь
itm_warhorse_steppe_pl|Степной боевой конь
itm_items_end|Завершение перечня
itm_items_end_pl|Завершение перечня
itm_mail_with_tunic_red|Кольчуга с тюникой
itm_mail_with_tunic_red_pl|Кольчуга с тюникой
itm_mail_with_tunic_green|Кольчуга с тюникой
itm_mail_with_tunic_green_pl|Кольчуга с тюникой
