
qstr_Next_Page|Следующая страница
qstr_You_were_beaten._The|Вы потерпели неудачу. Крестьяне радуются успеху, но урок, который вы хотели им преподать, не удался...
qstr_After_beating_your_l|Одолев всех противников, вы объясняете крестьянам, как лучше защищаться от таких атак. Будем надеяться, что они все поймут и как следует подготовятся.
qstr_The_bandits_are_brok|Бандиты побеждены! Те, кто остался в живых и в сознании, бежали без оглядки, испугавшись крестьян и их нового защитника.
qstr_{s1}_s_Ship|Корабль {s1}
qstr_However_{reg3?You_ar|Однако, {reg3?вы:{s1}} не в силах найти товаров, которые принесли бы вам прибыль.
qstr_^Buying_{s4}_here_an|^Если купить {s4} здесь и продать в {s5}, то это принесет вам прибыль в размере {reg6} динаров за единицу товара. {s3}
qstr_{reg3?You_find:{s1}_|{reg3?Вы выясняете:{s1} выясняет} следующее:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} получает {reg0} очков опыта.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} получает еще {reg0} очков опыта.
qstr_^You_earned_{reg0}_e|^Вы получаете {reg0} очков опыта.{s2}
qstr_The_training_didn_t_|Обучение прошло очень плохо.
qstr_The_training_didn_t_g|Обучение прошло не очень хорошо.
qstr_The_training_went_qu|Обучение прошло вполне нормально.
qstr_The_training_went_ve|Обучение прошло очень хорошо.
qstr_The_training_went_pe|Обучение прошло отлично.
qstr_{s13}_asked_you_to_r|{s13} просит вас прийти ему на помощь с войском, численностью не менее {reg13} человек.
qstr_{s13}_ordered_you_to|{s13} приказывает вам присоединиться к атаке на {s14}.
qstr_Find_and_speak_with_|Найдите {s3} из {s4} и принесите ему присягу.
qstr_There_has_been_an_al|Произошел странный пограничный инцидент: {s9} 
qstr_^^Note_that_so_long_|Примечание ^^, что, пока Вы остаетесь маршалом, лорды царства будут ожидать, что Вы приведете их на кампании. Так, если Вы ждете банкета, или  свадьбы или в других целях, Вы можете желать оставить marshalship, говоря с Вашим Льежем.
qstr_Breaking_camp...|Снятие лагеря...
qstr_Your_party_is_spotte|{s1} замечает ваш отряд.
qstr_Party_has_nothing_to|У вашего отряда нет еды!
qstr_{reg1}_{s1}_{reg2?ha|{s1} {reg1} человек {reg2?сбежали:сбежал} из отряда ночью.
qstr_{s1}_of_{s3}_has_bee|{s1} снова на свободе.
qstr_Building_of_{s0}_in_|Строительство {s0} в {s4} завершено.
qstr_{s1}_has_won_the_tou|Турнир в городе {s2} закончен. Победитель {s1}.
qstr_{s1}_is_no_longer_in|{s1} больше не страдает от нападений бандитов (по ночам).
qstr_You_pay_for_accommod|Вы платите за проживание.
qstr_Betrothal_to_{s5}_ex|Помолвка с {s5} истекла.
qstr__Your_tactics_skill_| Ваш навык тактики увеличился на 1.
qstr__Your_persuasion_ski| Ваш навык убеждения увеличился на 1.
qstr__Your_leadership_ski| Ваш навык лидерства увеличился на 1.
qstr__Your_intelligence_h| Ваш интеллект увеличился на 1.
qstr__Your_trade_skill_ha| Ваш навык торговли увеличился на 1.
qstr__Your_weapon_master_| Ваш навык владения оружием увеличился на 1.
qstr__Your_engineer_skill| Ваш навык инженерии увеличился на 1.
qstr_You_have_finished_re|Вы закончили читать {s1}.{s2}
qstr_Book_Read|Чтение книги
qstr_{s1}_is_scouted.|{s1} разведан.
qstr_{s1}_has_switched_fr|{s1} сменили одного лидера {s2} на другого {s3}.
qstr_{reg65?my_Lady:my_Lo|{reg65?миледи:милорд}
qstr_{reg65?My_Lady:My_Lo|{reg65?Миледи:Милорд}
qstr_{reg65?madame:sir}|{reg65?госпожа:господин}
qstr_{reg65?Madame:Sir}|{reg65?Госпожа:Господин}
qstr__no_fiefs_|(нет наделов)
qstr__fiefs:_{s0}_|(наделов: {s0})
qstr_It_s_your_money_or_y|Кошелек или жизнь, {приятель/подружка}. И никаких резких движений - прирежем на месте.
qstr_Lucky_for_you_you_ca|Тебе повезло, сейчас я в хорошем настроении. Отдай мне все свое золото, и можешь идти.
qstr_This_a_robbery_eh?_I|Ограбление, понятно? Отдавай все, что есть, или мы с ребятами убьем тебя. Понятно?
qstr_we_have_made_very_li|мы почти не продвинулись вперед
qstr_we_have_suceeded_in_|мы завоевали немного земли, но путь еще предстоит долгий
qstr_we_have_become_a_sig|мы стали значительной силой, и теперь у нас даже есть шансы на победу
qstr_we_are_winning_the_w|мы выигрываем войну, но враги еще держатся.
qstr_we_are_on_the_verge_|мы почти победили. Оставшиеся враги не представляют угрозы, но все же надо выследить их.
qstr_{playername}_when_we|{playername}, когда мы находились еще в самом начале пути, мало у кого хватало смелости поддержать меня, и еще меньше было тех, кто готов был отдать за меня жизнь. Но в тебе не было ни капли сомнений, когда нужно было разделаться с моими врагами. Мы очень многое пережили вместе, и бывали такие моменты, когда надежда почти покидала меня. Но, с божьей помощью, мы победили. Сейчас мне нужно покинуть тебя и взять то, что принадлежит мне по праву. С этих пор {s3} - моя вотчина, и я несу большую ответственность, принимая эту власть. Впереди меня ждет еще много испытаний, и я рассчитываю, что ты и дальше не оставишь меня. И, конечно, ты всегда будешь моим наипервейшим вассалом.
qstr__We_will_of_course_n|Мы конечно должны будем ждать, пока царство больше не находится на кампании.
qstr_I_am_{s4}_the_ruler_|Я {s4}, правитель {s6}
qstr_I_am_{s4}_a_vassal_o|Я {s4}, вассал {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? и господин {s8}.:.
qstr_{s13}_asked_you_to_g|{s13} просит вас найти {reg3}  голов скота и пригнать к нему.
qstr_{s9}_asked_you_to_sc|{s9} просит вас разведать местность вокруг {s13}, {s14} и {s15} и затем доложить обстановку.
qstr_you|вы
qstr_You_are_challenging_|Вы вызываете меня на поединок? Вот потеха! Как пожелаете, {playername}. Я с радостью впечатаю вам голову в плечи.
qstr_{s16}_and_{s17}|{s16} и {s17}
qstr_Very_well_I_will_acc|Хорошо, я приму тебя обратно, если ты снова принесешь мне присягу.
qstr_A_pardon_will_only_b|Я прощу тебя, только если ты передашь мне {s17}. Ты принимаешь мои условия?
qstr_No._There_is_no_chan|Нет. О мире не может быть и речи, меня это не интересует.
qstr_Our_marshal_{s1}|Наш главнокомандующий, {s1}
qstr_{s11}_and_{s12}|{s11} и {s12}
qstr_We_are_not_at_war_wi|Мы ни с кем не воюем.
qstr_We_are_at_war_with_{|Мы ведем войну с {s12}.
qstr_go_on_the_offensive_|идти в наступление сейчас.
qstr_act_to_defend_our_la|защищать наши земли.
qstr_take_more_time_to_ga|выжидать, чтобы собрать армию.
qstr_You_promised_to_help|Вы обещаете, что {s13} получит вашу поддежку в притязаниях на трон {s14}.
qstr_What_do_you_say_to_e|Не желаете ли пойти на службу к {9} командиром наемников? Вы наверняка справитесь с этим назначением.
qstr_{s9}_asked_you_to_ta|{s9} просит вас отнести сообщение {s13}. Когда вам дали это задание, {s13}, скорее всего, находились в {s4}.
qstr_{s9}_asked_you_to_tak|{s9} просит вас отнести сообщение {s13} из {s15}. Когда вам дали это задание, {s13}, скорее всего, находились в {s4}.
qstr_{s11}_asked_you_to_e|{s11} просит вас сопроводить его {s17} {s13} в {s14}.
qstr_{s13}_asked_you_to_d|{s13} просит вас разобраться с бандитами, которые заняли деревню {s15} и доложить о результатах.
qstr_{s9}_asked_you_to_ra|{s9} просит вас собрать отряд из {s14} в количестве {reg1} человек и доставить к нему.
qstr_{s9}_asked_you_to_co|{s9} просит вас отправиться в {s3} и собрать там налоги. Он сказал, что вы можете оставить себе одну пятую часть собранных денег.
qstr_{s9}_asked_you_to_hu|{s9} просит вас выследить беглеца по имени {s4}. В последний раз его видели в {s3}.
qstr_{s9}_asked_you_to_as|{s9} просит вас убить торговца в {s3}.
qstr_{s9}_has_asked_you_t|{s9} просит вас встретиться со шпионом в {s13}.
qstr_{s11}_asked_you_to_f|{s11} просит вас проследовать за шпионом, который отправится в путь из {s12}. Вы не должны попасться шпиону на глаза, иначе он может что-то заподозрить и вернуться. Как только шпион встретится с тем кем нужно, атакуйте их обоих из засады и приведите их к {s11}.
qstr_{s11}_asked_you_to_c|{s11} просит вас отправиться в {s13}, взять в заложники любого тамошнего правителя и привезти его к {s11}.
qstr_{s9}_asked_you_to_le|{s9} просит вас оставить с ним вашего спутника {s3} на неделю.
qstr_{s9}_asked_you_to_col|{s9} просит вас забрать {reg4} динаров у должника по имени {s3}. Этого {s3} недавно видели в {s4}.
qstr_{s11}_gave_you_a_fak|{s11} дает вам фальшивое письмо, чтобы {s13}, прочитав его, выгнал своего вассала {s16}. Вам нужно отправиться в {s14}, где ваш  {s15}  возьмет письмо в город, думая, что оно настоящее.
qstr_{s9}_has_requested_y|{s9} просит привести к нему {s3}. Ему нужны {reg1} пленников.
qstr_Lend_your_experience|Оставить своего опытного хирурга {s3} с {s1}.
qstr_Then_take_it_with_my|Тогда примите это с моей самой искренней благодарностью. Вы - {благородный мужчина/благородная женщина}. Я никогда не забуду, как вы помогли мне в трудную минуту.
qstr_Forgive_me_{playerna|Прошу прощения, {playername}, но я настаиваю на том, чтобы вы это приняли. Вот, возьмите, и оставим этот разговор.
qstr_{playername}_what_a_|{playername}, вы потрясающий человек, но я не позволю вам отказаться. Я в гораздо большем долгу перед вами, чем вы думаете, и, мне кажется, вы найдете этим деньгам куда лучшее применение, чем я.
qstr_{s11}_asked_you_to_r|{s11} просит вас спасти ее {s17}, {s13} из {s14}, который оказался в темнице. Чтобы спасти его, обменяйтесь с ним одеждой и останьтесь в там вместо него.
qstr_{s11}_asked_you_to_re|{s11} просит вас спасти ее {s17}, {s13} из {s14}.
qstr_{s11}_asked_you_to_d|{s11} просит вас доставить письмо {s13}, которого держат в тюрьме в {s14}.
qstr_You_agreed_to_challe|Вы согласились выйти на поединок с {s13}, чтобы защитить честь {s11}.
qstr_{s5}__Persuasion_str|{s5} (Сила убеждения: {reg5})
qstr_Persuasion_Attempt|Попытка убеждения
qstr_A_villager_from_{s7}|Житель деревни {s7} умоляет вас избавить деревню от бандитов, устроивших там свое логово.
qstr_You_chose_well_{sir/|Вы сделали правильный выбор, {господин/госпожа}. Мои ребята умеют держать слово и честно отрабатывают свои деньги.
qstr_Well_done_{sir/madam|Замечательно, {господин/госпожа}. Давайте нам деньги и вино - и можете никакого врага в Кальдарии не бояться!
qstr_We_are_at_your_servi|Мы к вашим услугам, {господин/госпожа}. Вы только покажите, с кем надо разобраться, а уж за нами дело не станет!
qstr_The_Guildmaster_of_{|Глава гильдии из {s13} просит вас разобраться с несколькими воровскими бандами неподалеку от города.
qstr_{s9}_of_{s3}_asked_y|{s9} из {s3} просит вас доставить {reg5} штук  {s6} в таверну в {s4} за 7 дней.
qstr_Escort_the_merchant_|Сопроводить торговый караван в {s8}.
qstr_Merchant_{s9}_of_{s4|Купец {s9} из {s4} просит вас выследить назойливых бандитов неподалеку от города.
qstr_Guildmaster_of_{s4}_|Глава гильдии из {s4} дал вам {reg12} динаров, чтобы заплатить выкуп за девочку, похищенную бандитами. Вы должны встретиться с ними около {s3} и передать деньги. После этого девочку нужно вернуть в {s4}.
qstr_Guildmaster_of_{s4}_p|Глава гильдии из {s4} не пожалеет для вас {reg12} динаров, если вы удостоверитесь, что {s12} и {s13} не угрожают мирному договору между {s15} и {s14}. Для этого вам придется либо уговорить их, либо захватить в плен и удерживать до тех пор, пока не будет заключен мир.
qstr_The_Guildmaster_of_{s|Глава гильдии {s14} попросил вас разобраться с группой бандитов, терроризирующих улицы города. Бандиты появляются только по ночам и нападают только на одиноких прохожих.
qstr_Guildmaster_of_{s10}|Глава гильдии из {s10} просит вас отогнать скот в {s13}. За это вы получите {reg8} динаров.
qstr_He_is_not_commanding|Сейчас под его командованием людей нет.
qstr_He_currently_command|Под его командованием сейчас {reg0} человек{reg1?, из которых {reg1} ранены:}.
qstr_The_elder_of_the_vil|Старейшина из деревни {s3} просит вас принести им {reg5} мешков зерна.
qstr_The_elder_of_the_vill|Старейшина из деревни {s13} просит вас обучить {reg5} крестьян сражаться с местными бандитами.
qstr_The_elder_of_the_villa|Старейшина из деревни {s3} просит вас пригнать к ним {reg5} голов скота.
qstr_{s16}_and_{s15}|{s16} и {s15}
qstr_I_can_smell_a_fat_pu|Толстый кошелек я чую за версту. Думаю, ты не прочь немного облегчить его, а?
qstr_Why_it_be_another_tr|Ну надо же! Нечасто на этой дороге встретишь путешественников. Хочу предупредить тебя, что здесь очень опасно, особенно для таких славных {парней/девушек}, как ты. Но если ты чуть приплатишь мне и моим ребятам, то доберешься до цели в безопасности!
qstr_Well_well_look_at_th|Ого, ну ничего себе! Давай-ка, отсчитай нам немного серебра, не то мы сами его заберем!
qstr_There_s_a_toll_for_p|За проход по этой земле нужно платить нам пошлину. Так что, если не возражаешь, мы возьмем у тебя, сколько надо.
qstr_Another_fool_come_to|Еще {один/одна} желает умереть от моих рук? Ну что ж, давай!
qstr_We_re_not_afraid_of_|Мы тебя не боимся! Сейчас ты лишишься своей тупой башки!
qstr_That_was_a_mistake._|Зря ты это. Теперь мне придется долго и мучительно тебя убивать.
qstr_Brave_words._Let_s_s|Смело. Посмотрим, как ты делом подтвердишь свои слова!
qstr_A_{s5}?_Well..._Yes_|{s5}? Ну, наверное, да. Странный вопрос.
qstr_Eh?_No_it_most_certa|Что? Нет, это вовсе не {s5}. У вас явно со зрением плохо.
qstr_This_is_the_{reg4?to|Это {reg4?город:деревня} {s5}, {господин/госпожа}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Этот город:Эта деревня} и прилегающие земли, разумеется, принадлежат вам {милорд/миледи}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Этот город:Эта деревня} и прилегающие земли, принадлежат {s7} из {s8}.
qstr_{s3}_and_{s5}|{s3} и {s5}
qstr_{reg20?We_mostly_pro|{reg20?В основном тут производятся такие товары, как {s5}:Сейчас мы почти ничего не производим}. Если вам интересно, то поговорите с нашим {reg4?главой гильдии:старейшиной}. Он недалеко, вон там.
