
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я желаю отсрочить назначение лорда.
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_reject|Не пойдет. Мне нужны пленные.
dlga_player_siege_ask_leave_unmolested_reject:close_window|Тогда мы будем защищать этот замок до последнего дыхания. Нам больше не о чем говорить. Прощайте.
dlga_lord_prison_break:lord_prison_break_confirm|Я собираюсь вытащить вас отсюда
dlga_lord_prison_break:close_window|Неважно. Главное - молчите!
dlga_lord_prison_break_confirm:lord_prison_break_confirm_2|Хвала небесам! Не знаю, сколько еще мне удалось бы здесь протянуть.
dlga_lord_prison_break_confirm_2:lord_prison_break_confirm_3|Но постойте! Как же мы убежим? Едва мы выйдем за дверь, на нас набросится весь гарнизон. Конечно, я буду драться вместе с вами, но учтите - пленников здесь держат на жидкой каше и объедках, а потому силенок у меня маловато.
dlga_lord_prison_break_confirm_3:lord_prison_break_confirm_4|Держитесь за моей спиной и старайтесь не ввязываться в драку.
dlga_lord_prison_break_confirm_3:lord_prison_break_confirm_4.1|Возьмите оружие и помогите мне - какие-то силы у вас остались. 
dlga_lord_prison_break_confirm_3:close_window|Не мешайтесь и не ввязывайтесь в драку!
dlga_lord_prison_break_confirm_4:close_window|Идем! {s14}
dlga_start:freed_lord_answer|Спасибо, что освободили меня! Я перед вами в долгу!
dlga_freed_lord_answer:freed_lord_answer_1|Никто вас не освобождал. Теперь вы у меня в плену.
dlga_freed_lord_answer_1:close_window|Подлая дрянь! Когда-нибудь я вздерну тебя за это, помяни мое слово!
dlga_freed_lord_answer:freed_lord_answer_2|Вы вольны идти куда вздумается, мой господин.
dlga_freed_lord_answer_2:close_window|Благодарю вас, {добрый господин/милая леди}. Я никогда не забываю тех, кто делал мне добро.
dlga_start:defeat_lord_answer|{s43}
dlga_defeat_lord_answer:defeat_lord_answer_1|Отныне вы у меня в плену.
dlga_defeat_lord_answer_1:close_window|Я надеюсь на ваше милосердие.
dlga_defeat_lord_answer:defeat_lord_answer_2|Вы славно бились. Я отпускаю вас.
dlga_defeat_lord_answer_2:close_window|{s43}
dlga_start:party_encounter_lord_hostile_attacker|{playername}!
dlga_start:party_encounter_lord_hostile_attacker.1|Стойте!
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker|{s42}
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker_2|{s43}
dlga_party_encounter_lord_hostile_attacker_2:close_window|Мы будем сражаться до конца!
dlga_party_encounter_lord_hostile_attacker_2:lord_recruit_1_relation|Придержите оружие в ножнах! Мне надо поговорить с вами наедине.
dlga_party_encounter_lord_hostile_attacker_2:party_encounter_offer_dont_fight|Может, не будем лезть в драку? У меня нет желания сражаться с вами.
dlga_party_encounter_lord_hostile_attacker_2:close_window.1|Не атакуйте! Мы сдаемся.
dlga_party_encounter_offer_dont_fight:close_window|За мной был должок... Ну ладно, на сей раз я вас отпущу.
dlga_party_encounter_offer_dont_fight:close_window.1|{s43}
dlga_start:lord_requests_recruitment|{s9}
dlga_lord_requests_recruitment:close_window|{s9}
dlga_lord_requests_recruitment:lord_requests_recruitment_refuse|{s9}
dlga_lord_requests_recruitment_refuse:close_window|{s9}
dlga_start:supported_pretender_talk|Я жду вашего совета, {playername}.
dlga_start:pretender_intro_1|Мы знакомы?
dlga_pretender_intro_1:pretender_intro_2|Меня зовут {playername}. К вашим услугам.
dlga_pretender_intro_1:pretender_intro_2.1|Я {playername}. Может, слышали о моих подвигах?
dlga_pretender_intro_2:pretender_intro_3|{s48}
dlga_pretender_intro_3:pretender_rebellion_cause_1|Мне казалось, {s12} владеет {s11}...
dlga_start:pretender_start|Приветствую вас, {playername}
dlga_pretender_start:pretender_rebellion_cause_prelim|Вы не могли бы повторить ваш рассказ, {reg65?моя госпожа:мой господин}?
dlga_pretender_rebellion_cause_prelim:pretender_rebellion_cause_1|Сейчас все расскажу.
dlga_pretender_rebellion_cause_1:pretender_rebellion_cause_2|{s48}
dlga_pretender_rebellion_cause_2:pretender_rebellion_cause_3|{s48}
dlga_pretender_rebellion_cause_3:pretender_start|{s48}
dlga_pretender_start:pretender_discuss_rebellion_1|Я хочу присоединиться к вам и помочь отвоевать трон!
dlga_pretender_start:pretender_end|Мне пора.
dlga_pretender_discuss_rebellion_1:pretender_discuss_rebellion_2a|{playername}, а вы уверены, что справитесь с задачей? Вернуть мне трон - дело не из легких. Вся знать нашей страны присягнула на верность {s11}. Конечно, клятва узурпатору не может считаться истинной присягой, а потому некоторые дворяне перейдут на нашу сторону, но впереди все равно еще много тяжких испытаний.
dlga_pretender_discuss_rebellion_2a:pretender_discuss_rebellion_2|{s11}
dlga_pretender_discuss_rebellion_2:pretender_discuss_rebellion_3|Я отлично это понимаю.
dlga_pretender_discuss_rebellion_2:pretender_end|Да. Пожалуй, мне надо еще немного подумать.
dlga_pretender_discuss_rebellion_3:close_window|Я не сомневаюсь, что вы предлагаете помощь от чистого сердца, {playername}, и благодарен вам. Но, честно говоря, я не думаю, что наши шансы на успех очень велики. Если бы вы снискали известность на полях сражений и прославились как великий полководец, тогда наши друзья не колеблясь присоединились бы к нам, а наши враги поостереглись бы поднимать против нас оружие. Когда придет это время, я с радостью буду сражаться с вами бок о бок. Но до того будет разумнее, если самозванец {s11} ни о чем не узнает.
dlga_pretender_discuss_rebellion_3:close_window.1|Мне казалось, {s17} уже рассчитывает на вашу поддержку. Должно быть, у вас и правда сильно развито чувство справедливости. Но - спасибо, нет. Я не хочу играть в ваши игры.
dlga_pretender_discuss_rebellion_3:close_window.2|{playername}, вы уже дали клятву верности {s15}. А раз так, я не могу посвятить вас в свои дела и дать врагам повод говорить, что я всего лишь марионетка, а за веревочки дергает {s16}. {s17} и королевский престол будут принадлежать мне только в том случае, если мои притязания справедливы, и поддерживать меня должны лишь мои собственные вассалы. Если вы хотите помочь мне, вам придется отказаться от клятвы, принесенной {s15}.
dlga_pretender_discuss_rebellion_3:close_window.3|Вы Монарх в вашем собственном праве, {Сир/Леди}, Если Вы поддержите меня, я стану вашей куклой.
dlga_pretender_discuss_rebellion_3:pretender_rebellion_ready|Вы умелый воин, {playername}, и я уверен, что благодаря вашей военной славе и праведности моего дела дворяне и все добрые люди {s12} поддержат нас. Пора действовать! Под нашим общим натиском {s11} падет, и мы вырвем трон из его запятнанных кровью рук. Но сначала вы должны принести мне клятву верности и принять меня как {reg65?cвою госпожу:своего сюзерена}.
dlga_pretender_rebellion_ready:lord_give_oath_2|Я отдам все свои силы вашему делу, {reg3?моя госпожа:мой сеньор}.
dlga_pretender_rebellion_ready:pretender_end|Давайте еще немного выждем.
dlga_lord_give_conclude_2:close_window|Итак, вперед! Наше первое задание - захватить крепость и убедить других лордов примкнуть к нам. Ведите нас!
dlga_pretender_end:close_window|Ну что ж, тогда прощайте.
dlga_start:lord_event_choose_friend|Говорят, вы сдружились с {s43} - {s6}. Поверьте, этому человеку нельзя доверять. Вы должны прекратить с ним всякие отношения.
dlga_lord_event_choose_friend:lord_event_choose_friend_renounce|Я уверяю вас, {s65}, что {s6} вовсе не друг мне.
dlga_lord_event_choose_friend_renounce:lord_pretalk|Приятно это слышать, {playername}, иначе мне пришлось бы опасаться за вашу безопасность. Если {s6} повстречается вам, будьте начеку и не верьте ни единому его слову.
dlga_lord_event_choose_friend:lord_event_choose_friend_defend|{s6} - достойный человек, вы не имеете права говорить о нем такие вещи!
dlga_lord_event_choose_friend_defend:lord_pretalk|Как скажете, {playername}. Может, вы и глупы, зато верны. Учтите только, что {s6} может оказаться не столь верным по отношению к вам.
dlga_lord_event_choose_friend:lord_event_choose_friend_neutral|Не втягивайте меня в вашу ссору с {s6}.
dlga_lord_event_choose_friend_neutral:lord_pretalk|Пфф... Как пожелаете, {playername}. Просто помните, что человеку в этом мире нужны друзья: вы никогда их не приобретете, если не определитесь, на чьей вы стороне.
dlga_start:lord_start.4|Моя госпожа, как же я рад вновь вас видеть...
dlga_start:lord_start.5|У вас есть ко мне вопросы, {Милорд/Миледи}?
dlga_start:lord_start.6|Кого я вижу! {playername}, моя надежда и опора...
dlga_start:lord_invite_player_monarch_1|Ну что ж, {playername}. Я прощаю вам вашу дерзость и то, что вы поспешили объявить себя {королем/королевой}. Я предлагаю вам место полноправного вассала в своем королевстве. Вы готовы принести клятву верности?
dlga_lord_invite_player_monarch_1:lord_invite_2|Да... мой господин.
dlga_lord_invite_player_monarch_1:lord_enter_service_reject|Нет. Слова клятвы застревают у меня в горле.
dlga_start:lord_invite_1|{playername}, я ждал вас. Слава о ваших достижениях дошла и до меня. О вашей доблести и отваге столько говорят, что мне не пришлось долго думать. Вы достойны того, чтобы стать моим вассалом.
dlga_lord_invite_1:lord_invite_2|Благодарю вас, {s65}, вы оказываете мне честь своим предложением.
dlga_lord_invite_1:lord_invite_2.1|Хорошо, хоть кто-то ценит мои заслуги по достоинству.
dlga_lord_invite_2:lord_invite_3|Да-да. Давайте побыстрее покончим с формальностями, {playername}! Вы готовы принести мне клятву верности?
dlga_lord_invite_3:lord_give_oath_2|Да, {s65}.
dlga_lord_invite_3:lord_enter_service_reject|Нет, {s65}. Сейчас я не могу поступить к вам на службу.
dlga_start:lord_female_pc_marriage_proposal|Моя госпожа, я долго думал о нашей давешней беседе. Полагаю, пришло время задать вам самый важный вопрос. Скажите, вы станете моей женой?
dlga_lord_female_pc_marriage_proposal:lord_marriage_proposal_female_pc_next_step|Да.
dlga_lord_female_pc_marriage_proposal:lord_female_pc_marriage_proposal_postponed|О боже, я должна подумать.
dlga_lord_female_pc_marriage_proposal:lord_female_pc_marriage_proposal_rejected|Нет. Я считаю, что это неподобающая затея.
dlga_lord_female_pc_marriage_proposal_postponed:lord_start|Разумеется, моя госпожа. Думайте, сколько угодно.
dlga_lord_female_pc_marriage_proposal_rejected:lord_female_pc_marriage_proposal_rejected_confirm|Моя госпожа, вы даете мне решительный отказ?
dlga_lord_female_pc_marriage_proposal_rejected_confirm:lord_female_pc_marriage_proposal_rejected_confirm_yes|Да. 
dlga_lord_female_pc_marriage_proposal_rejected_confirm:lord_female_pc_marriage_proposal_postponed|Нет, вы не поняли меня - мне надо немного подумать.
dlga_lord_female_pc_marriage_proposal_rejected_confirm_yes:close_window|Раз так, вот что я скажу: ваш грубый отказ снял пелену с моих глаз. Полагаю, вы правы - мы с вами не ровня. Теперь я и сам не пожелал бы взять вас в жены. Прощайте.
dlga_lord_female_pc_marriage_proposal_rejected_confirm_yes:close_window.1|Моя госпожа, это ваше право. Если вы смените гнев на милость, я буду счастлив.
dlga_start:lord_start.7|{playername}, приятно вас видеть...
dlga_start:lord_start.8|Мы снова встретились, {playername}...
dlga_start:lord_start.9|{s8}
dlga_start:lord_start.10|Рад вас снова видеть {playername}...
dlga_start:lord_start.11|Мы снова встретились, {playername}...
dlga_start:lord_meet_neutral|Мы знакомы?
dlga_lord_meet_neutral:lord_intro|Я {playername}.
dlga_lord_meet_neutral:lord_intro.1|Меня зовут {playername}. К вашим услугам, мой господин.
dlga_lord_intro:lord_start|{s11}
dlga_start:lord_meet_enemy|{s43}
dlga_lord_meet_enemy:lord_intro|Я {playername}, {s65}.
dlga_lord_meet_enemy:lord_intro.1|Мое имя - {playername}. Запомни его, вскоре ты не раз обо мне услышишь.
dlga_start:lord_start.12|{s8}
dlga_lord_start:lord_start|{s42}
dlga_lair_quest_intermediate_1:lord_pretalk|Блестящая работа, {playername}! О вашем дерзком нападении говорит все королевство. Без сомнения, они или им подобные скоро вернутся, но на короткое время вы подарили этим землям небольшую передышку. Мы вам очень благодарны.
dlga_lair_quest_intermediate_2:lord_pretalk|Ну что ж, {playername}. Похоже, несколько бандитов сбежали - и, конечно же, они продолжат угрожать мирным путникам. Тем не менее, спасибо за помощь..
dlga_lord_start:lord_generic_mission_completed|Ваш хирург убедил моего друга согласиться на операцию. Теперь все в божьих руках, мы можем только молиться. В любом случае спасибо, что позволили мне воспользоваться услугами вашего врача, {мой господин/милая госпожа}. Я никогда этого не забуду.
dlga_lord_start:wedding_ceremony_bride_vow|Пусть небеса станут свидетелями тому, что я готов даровать вам в жены {s4}...
dlga_lord_start:lord_wedding_reschedule|Приветствую вас, {playername}. Свадебная церемония начнется, когда все соберутся.
dlga_lord_wedding_reschedule:lord_start|Нет проблем. Я могу подождать.
dlga_lord_wedding_reschedule:lord_return_dower|Я сомневаюсь, что эта свадьба состоится. Верните мое приданое.
dlga_lord_return_dower:close_window|Что же, если вы настолько не верите в нашу семью, извольте. Забирайте деньги, это ваше право. 
dlga_lord_start:lord_generic_mission_completed.1|Ха! Наш маленький заговор против бедолаги {reg3} отлично сработал, {playername}. Этот болван потерял одного из своих самых крупных вассалов, а мы стали на шаг ближе к победе. Вот, держите, в этом кошеле {reg5} динаров. Каждую монету вы честно заслужили. И вряд ли вам надо напоминать, что при желании вы сможете заработать гораздо больше...
dlga_lord_start:close_window|Вы не справились с простейшим заданием. Я же все организовал! Вам нужно было просто убить гонца, и мы бы сейчас праздновали победу. Но нет, как же - вы у нас так чертовски благородны, да?
dlga_lord_start:quest_meet_spy_in_enemy_town_completed|Есть какие-то новости о моем поручении? Вы знаете, о чем я...
dlga_quest_meet_spy_in_enemy_town_completed:quest_meet_spy_in_enemy_town_completed_2|Бумаги, которые вам нужны, у меня.
dlga_quest_meet_spy_in_enemy_town_completed_2:lord_pretalk|Отлично! Приятно иметь дело с компетентными людьми. Вот вам обещанная плата.
dlga_lord_start:lord_pretalk|Блестящая работа, {playername}! Не знаю, что вы там устроили, но вся знать {s13} жаждет начать войну! Теперь пришло время пожинать плоды наших трудов, и очень скоро мы займемся этим на землях нашего врага! Попомните мои слова - эта война сделает нас по-настоящему богатыми!
dlga_lord_start:lord_collect_debt_completed|Мне доложили, что вам удалось забрать деньги, которые мне задолжал {s7}. Давно надо было за него взяться. Итак, я обещал вам пятую часть от общей суммы, так? Из {reg4} динаров отдайте мне {reg3} динаров. Остальное можете оставить себе.
dlga_lord_collect_debt_completed:lord_collect_debt_pay|Конечно, {s65}. Вот {reg4} динаров.
dlga_lord_collect_debt_pay:lord_pretalk|Должен признать, я впечатлен, {playername}. Я уже потерял всякую надежду вернуть деньги. Примите мою искреннюю благодарность.
dlga_lord_collect_debt_completed:lord_collect_debt_no_pay|Боюсь, мой господин, что денег у меня нет.
dlga_lord_collect_debt_no_pay:close_window|Это что, шутка? Я отлично знаю, что {s7} дал вам деньги, и я хочу получить каждый динар, который он мне задолжал, {милостивый государь/госпожа}. Давайте вот как поступим пока я не увижу своих денег, вы лично будете мне их должны.
dlga_lord_start:close_window.1|Я слышал, вы избавились от этого несносного торговца, который так досаждал мне. Смотрю, вы не боитесь замарать ручки, а? Это качество я в людях ценю. Вот ваша награда. Помните, {playername}: держитесь меня, и мы проделаем вместе долгий, очень долгий путь.
dlga_lord_start:close_window.2|А, это вы. Просветите меня, как, ну как можно было проиграть простейший бой грязному торговцу? Серьезно, если мне вдруг вздумается научить свою стражу ложиться и помирать, я приду именно к вам. Оставьте меня, {playername}, у меня много дел.
dlga_lord_start:lord_kill_local_merchant_let_go|У вас что, опилки вместо мозгов? Если я говорю убить торговца, по-вашему, я имею в виду побеседовать с ним и отпустить? Что на вас нашло?
dlga_lord_kill_local_merchant_let_go:lord_kill_local_merchant_let_go_2|Мой господин, он поклялся мне, что впредь не будет действовать вам во вред.
dlga_lord_kill_local_merchant_let_go_2:lord_pretalk|Чушь какая. Вместо того чтобы читать ему проповеди, убрали бы его тихо - и вся беда. И молитесь, чтобы он не нарушил слова, иначе вам обоим придется об этом пожалеть. Вот половина вашего вознаграждения. И ни слова больше, {playername}, - радуйтесь тому, что получили. Мне не нужны люди, которые не умеют выполнять приказы.
dlga_lord_start:lord_follow_spy_completed|Прекрасная работа, {playername}! Вы сумели захватить и шпиона, и его нанимателя! Эта парочка уже в подземелье, ждут допроса. Моему палачу придется сегодня ночью потрудиться! В любом случае, я очень доволен результатом, {playername}. Примите этот кошель в знак моей признательности.
dlga_lord_start:lord_follow_spy_half_completed|Разрази вас гром! Мне нужны были ДВА пленника, {playername}, а один - все равно, что ничего! Я и так знаю все, что знает шпион. Мне нужен был его наниматель. За полработы вам полагается половина вознаграждения. Берите, и прочь с глаз моих.
dlga_lord_start:lord_follow_spy_half_completed.1|Я просил вас привести двух пленников, {playername}, а не одного. Двоих. Впрочем, я полагаю, вы захватили нанимателя шпиона, а он - лицо более значимое в этой паре. Шпион не посмеет вернуться сюда и окажется практически бесполезен для того, кому он служит. Однако, полагаю, вы поймете меня, если я заплачу вам половину обещанного вознаграждения за не полностью выполненную работу.
dlga_lord_start:lord_follow_spy_failed|Да уж, {playername}, вы проявили просто чудеса некомпетентности. Упустить и шпиона, и его нанимателя - это редкое невезение. Забудьте о награде. Вы ничем ее не заслужили.
dlga_lord_follow_spy_half_completed:lord_pretalk|Я стараюсь, как могу, {s65}.
dlga_lord_follow_spy_completed:lord_pretalk|Благодарю вас, {s65}.
dlga_lord_follow_spy_failed:lord_pretalk|Гм. Как вам будет угодно, {s65}.
dlga_lord_start:lord_generic_mission_completed.2|Будь я проклят, как вам это удалось, {playername}?! Все мои крепостные вернулись и занялись приготовлениями к уборке урожая. Вы, бесспорно, заслужили награду. Вот, примите ее, вместе с моей благодарностью.
dlga_lord_start:lord_bring_back_runaway_serfs_failed|{playername}. Я ожидал получить моих крепостных, но никто из них так и не вернулся. У вас есть объяснение этому? Может быть, мужланы обвели вас вокруг пальца? Или, возможно, вы сговорились с моими врагами и намеренно хотите разорить меня...
dlga_lord_bring_back_runaway_serfs_failed:lord_bring_back_runaway_serfs_failed_1a|Простите, {s65}, это мужичье - они скользкие как угри, не поймаешь.
dlga_lord_bring_back_runaway_serfs_failed:lord_bring_back_runaway_serfs_failed_1b|Надо было получше с ними обращаться...
dlga_lord_bring_back_runaway_serfs_failed_1a:lord_pretalk|П-ф-ф, вряд ли это оправдывает ваш провал, {playername}. А теперь прошу простить, мне нужно искать новых людей для полевых работ, пока на моих землях не начался голод.
dlga_lord_bring_back_runaway_serfs_failed_1b:close_window|Ага, теперь-то ваша подлость раскрылась во всей красе! Ваши слова полностью соответствуют вашим действиям. С самого начала не стоило вам доверять.
dlga_lord_start:lord_runaway_serf_half_completed|Вы меня разочаровываете, {playername}. Я приказал вам вернуть три группы крепостных. ТРИ. А не {reg17}. Я полагаю, тем, кто вернулся, придется трудиться вдвое тяжелее, чтобы восполнить нехватку рабочих рук. Что же до вашего вознаграждения, {playername}, я заплачу вам лишь за тех, кого вы вернули. Вот деньги. Берите, и давайте покончим с этим делом.
dlga_lord_runaway_serf_half_completed:lord_pretalk|Благодарю вас, {s65}. Вы поистине щедры.
dlga_lord_runaway_serf_half_completed:lord_pretalk.1|Да, мое время потрачено впустую...
dlga_lord_start:lord_deal_with_bandits_completed|{playername}, мне сообщили, что вы уничтожили разбойников в моей деревне {s5}. Весьма благодарен вам за это. Позвольте мне оплатить ваши издержки. Я надеюсь, {reg14} динаров будет достаточно.
dlga_lord_deal_with_bandits_completed:lord_pretalk|Отлично, {s65}.
dlga_lord_deal_with_bandits_completed:lord_pretalk.1|Всегда к вашим услугам.
dlga_lord_deal_with_bandits_completed:lord_pretalk.2|О, это пустяки. 
dlga_lord_start:lord_pretalk.1|Будьте вы прокляты, {playername}! Вы не смогли выставить бандитов из моей деревни! Они превратили {reg5} в пепелище! А мне говорили, что вы умеете воевать... Похоже, это не так.
dlga_lord_start:lord_deliver_cattle_to_army_thank|Ах, {playername}. Мой интендант сообщил, что вы доставили скот. Не знаю, в хвостах их мерят, или в головах, но и того, и другого по {reg13}. Я под впечатлением.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk|Ничего сложного, {s65}.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk.1|Всегда к вашим услугам.
dlga_lord_deliver_cattle_to_army_thank:lord_pretalk.2|Что там, это было легче легкого.
dlga_lord_start:lord_scout_waypoints_thank|Из вас получился хороший лазутчик, {playername}. Мой гонец только что принес донесения о вашей работе в {s13}, {s14} и {s15}. Хорошо.
dlga_lord_scout_waypoints_thank:lord_pretalk|Это было несложно, {s65}.
dlga_lord_scout_waypoints_thank:lord_pretalk.1|Такая работа как раз по мне.
dlga_lord_scout_waypoints_thank:lord_pretalk.2|Мне в радость служить вам, мой повелитель.
dlga_lord_start:lord_mission_told_deliver_cattle_to_army|Провиант слишком быстро иссякает, {playername}. Чтобы прокормить войска, мне требуется {reg3} голов скота. Мне безразлично, где вы их возьмете, просто пригоните его как можно быстрее.
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_accepted|Думаю, я смогу найти кое-какой скот.
dlga_lord_mission_told_deliver_cattle_to_army:lord_mission_told_deliver_cattle_to_army_rejected|Сожалею, мой господин, но у меня есть другие дела.
dlga_lord_mission_told_deliver_cattle_to_army_accepted:close_window|Отлично! Вы знаете, что делать, {playername}, так приступайте. Мне нужен скот - и чем скорее, тем лучше.
dlga_lord_mission_told_deliver_cattle_to_army_rejected:close_window|Очень... очень жаль, {playername}. Придется мне найти для этой работы кого-то другого. А теперь покиньте меня, я занят.
dlga_lord_start:lord_pretalk.2|Благодарю, что откликнулись на мой призыв, {playername}. Однако сейчас мы ни с кем не воюем и не нуждаемся в ваших услугах. Вы можете быть свободны. 
dlga_lord_start:lord_report_to_army_asked|А, вы наконец-то прибыли, {playername}. Мы вас ждали. Надеюсь, вы привели с собой достаточно опытных воинов.
dlga_lord_report_to_army_asked:lord_report_to_army_completed|Со мной прибыл отряд отличных ребят, закаленных вояк. Мы готовы к вам присоединиться.
dlga_lord_report_to_army_asked:lord_report_to_army_continue|У меня пока недостаточно воинов. Мне нужно еще немного времени.
dlga_lord_report_to_army_completed:close_window|Отлично. Я сообщу, когда у меня появится задание для вас. А пока следуйте за нами неотступно, держитесь поближе. Мы скоро выдвигаемся.
dlga_lord_report_to_army_continue:close_window|Тогда вам лучше поторопиться. Мы скоро выступаем на врага, и мне понадобятся все воины, которых мы сможем выставить.
dlga_lord_start:lord_mission_told_scout_waypoints|{playername}, я ищу добровольца для разведки окрестностей. Мы очень мало знаем, а я должен представлять себе общую картину, чтобы принимать какие-то решения. Отправляйтесь в {s13}, {s14} и {s15} и доложите обо всем, что обнаружите.
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_accepted|Я с радостью выполню задание, мой повелитель.
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_rejected|Боюсь, мне придется отказаться.
dlga_lord_mission_told_scout_waypoints_accepted:close_window|Вот молодчина! Просто походите поблизости от {s13}, {s14} и {s15} и выясните, что там происходит. Возьмите на заметку все, что найдете, и возвращайтесь ко мне как можно скорее.
dlga_lord_mission_told_scout_waypoints_rejected:lord_pretalk|Хм. Я разочарован, {playername}. Очень разочарован. Поговорим позже, сейчас мне нужно найти другого лазутчика.
dlga_lord_generic_mission_thank:lord_generic_mission_completed|Вы мне очень помогли, {playername}. Примите мою благодарность.
dlga_lord_generic_mission_completed:lord_pretalk|Для меня честь - служить вам.
dlga_lord_start:lord_pay_debt_2|Мне кажется, вы должны мне {reg1} динар, {playername}. Вы в ближайшее время собираетесь погасить долг?
dlga_lord_pay_debt_2:lord_pay_debt_3_1|Для этого я здесь, {s65}. Вот, возьмите - здесь весь мой долг до последнего динара.
dlga_lord_pay_debt_2:lord_pay_debt_3_2|К сожалению, у меня недостаточно средств, {s65}. Но я скоро все вам отдам.
dlga_lord_pay_debt_3_1:lord_pretalk|О, прекрасно. Вы человек чести, {playername}. Я удовлетворен, вы все вернули сполна.
dlga_lord_pay_debt_3_2:lord_pretalk|Ладно, но не заставляйте меня ждать слишком долго.
dlga_lord_start:lord_start.1|Кстати, я надеюсь, что вы встретите {моего/мою} {s11}, {s14}.
dlga_lord_start:lord_start.2|Кстати, моя {s11}, {s14}, наверняка будет вам рада. Она ждет вас в своих покоях.
dlga_lord_start:lord_buy_prisoner|Говорят, наш враг, {s3}, попал к вам в плен. Мне не жаль за него {reg6} динаров, если вы готовы принять за него выкуп. Конечно, вы можете подождать, пока его семья не заплатит вам... но кто знает, когда это произойдет?
dlga_lord_buy_prisoner:lord_buy_prisoner_accept|Я принимаю ваше предложение. {s3} будет передан вам за выкуп в размере {reg6} динаров.
dlga_lord_buy_prisoner:lord_buy_prisoner_deny|Боюсь, я не могу принять ваше предложение.
dlga_lord_buy_prisoner_accept:lord_pretalk|Отлично! Вот кошель с {reg6} динаров. Я пошлю своих людей, чтобы они без промедления перевели пленника в мою темницу.
dlga_lord_buy_prisoner_deny:lord_pretalk|Ммм... как пожелаете, {playername}, но вряд ли вы дождетесь более щедрого предложения. Так что соглашайтесь.
dlga_lord_start:lord_talk|Я поднимаю бокал за ваше здоровье {playername}!, Вы самый важный гость для меня.
dlga_lord_start:lord_talk.1|Пользуясь случаем, я приветствую вас в своем поместье {playername}. Что привело вас сюда?
dlga_lord_start:lord_talk.2|Какова ваша ставка?
dlga_lord_start:lord_talk.3|{playername} Я приветствую вас в моем замке.
dlga_lord_start:lord_talk.4|{s4} очень честный и хороший человек, дак поднимем же бокалы за его здоровье!
dlga_lord_talk:offer_gift_quest_complete|У меня есть кое-что для {s4}.
dlga_offer_gift_quest_complete:close_window|Ах, позвольте мне взять это. Мы надеемся, это исправит ссору между Вами. Может вы хотите поговорить с {reg4? ним:ей}, чтобы выяснить результаты.
dlga_lord_talk:intrigue_quest_state_complaint|Мой господин, мне бы хотелось поведать вам нечто важное. Речь идет об одном из ваших вассалов.
dlga_intrigue_quest_state_complaint:lord_pretalk|Независимо от того, что Вы должны сказать, я попросил бы, чтобы Вы подождали, пока мы не останемся наедине.
dlga_intrigue_quest_state_complaint:intrigue_quest_state_complaint_plyr|Что такое? Я ценю ваше мнение, но искренне надеюсь, что вы не пытаетесь внести разлад в ряды моих вассалов.
dlga_intrigue_quest_state_complaint_plyr:lord_intrigue_quest_complaint_stated|Многие ваши вассалы считают что, {s4}, {s5}, и что он может угрожать целостности вашего государства
dlga_intrigue_quest_state_complaint_plyr:lord_pretalk|Простите, но мне нечего вам сказать.
dlga_lord_intrigue_quest_complaint_stated:lord_pretalk|Хм... Я обеспокоен это услышать. Хотя я не поощряю своих вассалов плохо говорить друг о друге, я оцениваю Ваше мнение. Возможно я должен думать дважды о предоставлении {s4} в феодальное владение...
dlga_lord_intrigue_quest_complaint_stated:intrigue_quest_state_complaint_failed|Сеете разногласия среди моих вассалов, не так ли? Вы думаете, что я оценю своих дворян, {s5} грызущих друг друга как грязные шавки? Позвольте мне спросить Вас - кто-то просил Вас об этом?
dlga_intrigue_quest_state_complaint_failed:intrigue_quest_state_accept_blame|Я поддерживаю свои слова.
dlga_intrigue_quest_state_complaint_failed:intrigue_quest_state_deflect_blame|Да, Сир - {s4} поставил меня обвинителем человека по имени {s5}!
dlga_intrigue_quest_state_accept_blame:lord_pretalk|Понимаю. Вы можете не отступать от своих слов, но и я от своих убеждений не отступлю. Я не дам вам порочить честь моего верного слуги {s4}.
dlga_intrigue_quest_state_deflect_blame:lord_pretalk|Я так и думал. Вот тебе мой совет, {паренек/девчонка} - не суйся в дела других. И хватит об этом.
dlga_lord_talk:lord_denounce_1|С нас хватит ваших злобных речей против нашего государства, {s4}!.
dlga_lord_denounce_1:lord_denounce_2|Простите... Что вы имеете в виду?
dlga_lord_denounce_2:lord_denounce_3|Вы прекрасно меня поняли.
dlga_lord_denounce_2:lord_pretalk|О, забудьте. Должно быть, вы ослышались.
dlga_lord_denounce_3:close_window|Как у вас язык повернулся? Подобное оскорбление после стольких дней нашей дружбы подобно удару ножом в спину - оно разит больнее, чем меч врага. Не знаю, что за игру вы затеяли, но принимать в ней участие я не желаю. Прочь. Я не хочу вас видеть.
