qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{s6}^^{s2}^Relation:|{s6}^^{s2}^Отношение: {s3}^Процветание: {s50}^Аренда: {reg0}^Тариф: {reg1}
qstr_Kingdom_Centers_Repo|Отчет центрального королевства:^^^--Города-- {s4}^^^^--Замки-- {s5}^^^^--Деревни--{s6}^^
qstr_Appoint_next_marshal|Назначить нового маршала
qstr_Award_{s12}_as_fief|Премия {s12}, как феодальное владение
qstr_{!}Error__{reg3}_|{!}Ошибка ({reg3})
qstr_{!}Political_issue:_|{!}Политический вопрос: {s11}
qstr_{!}{s10}__on_agenda_|{!}{s10} (на повестке дня {reg4} часов)
qstr_{!}Defending|{!}Защита
qstr_{!}Gathering_army|{!}Сбор армии
qstr_{!}Besieging_{s11}|{!}Осаждавших {s11}
qstr_{!}Raiding_{s11}|{!}Рейдерство {s11}
qstr_{!}Attacking_enemies|{!}Атакующих врагов вокруг{s11}
qstr_{!}{s12}__controvers|{!}{s12} (споры: {reg21})
qstr_{!}{s12}^Screening_p|{!}{s12}^Скрининг-участник: {s38}
qstr_Kingdom_Global_Info:|Общая инфомация о королевстве:^^{s10}^^{s9}
qstr_From_this_area_you_c|Отсюда вы можете дать следующие приказы:
qstr_>_Order_the_army_to_|>Собрать армию.^^>Собрать все ресурсы для защиты королевства.^^>Повысить налог на землю.Этот сбор также включает набор в вашу кампанию всех молодых людей призывного возраста,если вы не уверены в ваших силах.
qstr_>_Kingdom_Strategy|>Английская стратегия
qstr_You_have_given_the_o|Вы отдали приказ о сборе всех армий королевства возле вас.
qstr_You_have_given_the_or|Вы дали приказание сделать все возможное чтобы защитить ваше королевство.
qstr_The_landed_levy_of_t|Будет озвучена примерная дата сбора.Практически каждый кто пособен держать оружие в руках готов присоединиться к вам.
qstr_script_battlegroup_p|сценарий битвы вокруг лидера: неверный тип агента лидера(плохой вызов)
qstr_script_battlegroup_pl|сценарий битвы вокруг лидера: лидер не соответствует команде(плохой вызов)
qstr_ranks|занять
qstr_shield_wall|стена щитов
qstr_wedge|клин
qstr_square|площадь
qstr_up|вверх
qstr_{!}{s2}_forming_{s1}|{!}{s2} формирования {s1}.
qstr_Not_enough_troops_in|Недостаточно войск в {s2} чтобы сформировать {s1}.
qstr_{!}{s2}_is_an_{s3}_d|{!}{s2} является {s3} дивизия не может служить{s1}.
qstr_{s1}:_infantry_forma|{s1}: пехота разойтись.
qstr_{s1}:_archer_formati|{s1}: лучники разойтись.
qstr_{s1}:_skirmisher_for|{s1}: застрельщики разойтись.
qstr_{s1}:_cavalry_format|{s1}: каваллеристы разойтись.
qstr_{s1}:_formation_disa|{s1}: всем разойтись.
qstr_Cavalry_formation_di|Каваллерия разойтись.
qstr_The_placement_of_{s1|Разделение {s1} дивизии {reg0} сохранить.
qstr_The_placement_of_{s1}|Разделение {s1} дивизии {reg0} по умолчанию.
qstr_Your_party_s_tactica|Ваш групповой тактический навык определяет границы как далеко вы сможете разместить ваши армии!
qstr_...and_attack_enemy_|...и атаковать противника {s1} разойтись!
qstr_{s2}:_returning_afte|{s2}: вернуться после победы над врагом {s1} разойтись.
qstr_infantry|пехотинец
qstr_archer|лучник
qstr_cavalry|кавалерия
qstr_skirmisher|застрельщик
qstr_mounted_archer|установить лучника
qstr_support|поддержка
qstr_bodyguard|телохранитель
qstr_undetermined_type_of|неопределенный тип
qstr_battlegroup_get_acti|получить боевой радиус действия: отрицательный радиус для команды {reg0} разойтись {reg1} формирования {reg2}
qstr_Lame|Хромой
qstr_Swaybacked|Провисания
qstr_Timid|Робкий
qstr_Meek|Мик
qstr_Stubborn|Упрямый
qstr_Heavy|Тяжелый
qstr_Spirited|Энергичный
qstr_Champion|Чемпион
qstr_Cracked|Треснувший
qstr_Battered|Разрушитель
qstr_Thick|Толстый
qstr_Reinforced|Железный
qstr_Rusty|Рослый
qstr_Tattered|Побитый
qstr_Ragged|Рванина
qstr_Crude|Сырой
qstr_Sturdy|Надежный
qstr_Hardened|Закаленный
qstr_Lordly|Барский
qstr_Broken|Разбитый
qstr_Bent|Изогнутый
qstr_Chipped|Колотый
qstr_Strong|Сильный
qstr_Balanced|Сбалансированный
qstr_Tempered|Закаленное
qstr_Masterwork|Редкий
qstr_Large_Bag_of|Большой мешок
qstr_Shield_skill.|Мастер щита.
qstr_Power_Throw_skill.|Сила мастерства.
qstr_Power_Draw_skill.|Сила энергии.
qstr_Riding_skill.|Навык верховой езды.
qstr_{s2}_needs_{reg1}_mo {s2}|необходимо {reg1} более {s1}
qstr_You_do_not_have_the_m У|вас нехватает денег чтобы купить {s0}.
qstr_you|что вы
qstr_You_place_the_{s0}_t|Вы размещаете {s0} все {s1} что было в вашем багаже.
qstr_You_dump_a_{s2}_in_o|Вы выбрасываете {s2} чтобы сохранить то {s0} что {s1} использовали.
qstr_Unable_to_Equip_Item|Нельзя
qstr_You_need_five_tool_k|Требуется пять наборов инструментов для улучшения убежища!
qstr_You_need_five_timber|Нужно пять связок бревен чтобы улучшить ваше убежище!
qstr_Name:_Marcus.|Имя: Маркус.
qstr_Occupation:|Это меню рода занятий: Этот капитан уже работает на вас.
qstr_Occupation:_Captain^|Род занятий: Капитан^Начальная стоимость: 500^Недельная стоимость: 55^Примечание: помогает управлять убежищем, и развивать те улучшения которые вам нужны.
qstr_Name:_Father_Beda.|Имя: Отец Бодо.
qstr_Occupation:_This_pri|Род занятий:  Этот священник уже работает на вас..
qstr_Occupation:_Priest^I|Род занятий: Жрец^Начальная стоимость:_250^Недельная стоимость:_30^Примечаниеs: поощряет практику христианства среди ваших войск.
qstr_Name:_Godi_Olafr.|Имя: Годи Олаф.
qstr_Occupation:_Godi^Ini|Род занятий: Годи^Начальная стоимость: 250 ^Недельная стоимость: 30^Примечание : поощряет практику язычества среди ваших войск.
qstr_Name:_Skald_Bragi.|Имя: Скальд Брага.
qstr_Occupation:_This_bar|Род занятий: Этот бард уже работает на вас.
qstr_Occupation:_Skald^In|Род занятий: Скальд^Начальная стоимость: 200^Недельная стоимость: 40^Примечаниеs: наполняет ваши залы непревзойденной музыкой Севера.
qstr_Name:_Bard_Siwi.|Имя: Бард Сиви.
qstr_Occupation:_Bard^Ini|Род занятий: Бард^Начальная стоимость: 200 ^Недельная стоимость: 40^Примечаниеs: наполняет ваши залы вдохновляющей музыкой Англии.
qstr_Name:_Casius.|Имя: Касиус.
qstr_Occupation:_This_man|Род занятий: Этот человек уже работает на вас.
qstr_Occupation:_Bottler^|Род занятий: Барман^Начальная стоимость: 100^Недельная стоимость: 10^Примечание: необходимое дополнение к вашему праздничному залу.
qstr_Name:_Suaibsech.|Имя: Suaibsech.
qstr_Occupation:_This_wom|Род занятий: Эта женщина уже служит вам.
qstr_Occupation:_Happy_Wi|Род занятий: Счастливая вдова^Начальная стоимость: 300^Недельная стоимость: 25^Примечание: Сделает ваших воинов счастливее.
qstr_Name:_Tancoystl.|Имя: Tancoystl.
qstr_Name:_Gulla.|Имя: Галя.
qstr_Occupation:_Happy_Wid|Род занятий: Счастливая вдова^Начальная стоимость: 150^Недельная стоимость: 15^Примечание: Лучший способ сделать ваших воинов счастливее.
qstr_Name:_Eadgyd.|Имя: Eadgyd.
qstr_Name:_Haraldr.|Имя: Харальд.
qstr_Occupation:_This_tra|Род занятий: Этот тренер уже работает на вас.
qstr_Occupation:_Trainer^|Род занятий: Тренер^Начальная стоимость: 450^Недельная стоимость: 45^Примечание : тренирует войска.
qstr_Name:_Ulfberht.|Имя: Ульберт.
qstr_Occupation:_This_smi|Род занятий: Этот кузнец уже работает на вас.
qstr_Occupation:_Smith^In|Род занятий: Кузнец^Начальная стоимость: 400^Недельная стоимость: 40^Примечание: кует новое оружие для вших воинов.
qstr_Name:_The_Hungry_Ham|Имя: Генри Хаммер.
qstr_Occupation:_This_arm|Род занятий: Этот оружейник уже работает на вас.
qstr_Occupation:_Armorer^|Род занятий: Оружейник^Начальная стоимость: 400^Недельная стоимость: 40^Примечание: Его прозвище происходит от его ненасытного аппетита к железу, производит все виды вещей.
qstr_Name:_Aurelius.|Имя: Аурелиус.
qstr_Occupation:_This_phy|Род занятий: Этот врач работает на вас.
qstr_Occupation:_Physicia|Род занятий: Врач^Начальная стоимость: 250^Недельная стоимость: 15^Примечание: заживляет легкие ранения.
qstr_Name:_Morgan.|Имя: Морган.
qstr_Name:_Alexander| Имя: Александр.
qstr_Occupation:_Physician|Профессия: Врач^Начальная стоимость: 350^Недельная стоимость: 30^Примечание: высококвалиффицированный, умеет заживлять как тяжелые так и легкие раны.
qstr_Name:_Aillil.|Имя: Айллил.
qstr_Occupation:_Physician^|Род занятий: Врач^Начальная стоимость: 250^Недельная стоимость: 30^Примечание: лечит легкие раны.
qstr_Name:_Wamba.|Имя: Вамба.
qstr_Occupation:_This_coo|Род занятий: Этот повар уже работает на вас.
qstr_Occupation:_Cook^Ini|Род занятий: Повар^Начальная стоимость: 350^Недельная стоимость: 30^Примечание: организация праздников.
qstr_My_Name_is_Beda_the_|Меня зовут Старый Бодо, и это мой рассказ хроника о тех временах когда я был еще совсем молодым...
qstr_Finish:_{s0}^|Готово: {s0}^
qstr_Price:_{reg7}_pening|Цена: {reg7} шиллингов
qstr_A_good_way_to_hasten|Хорошим способом ускорить падение {s2} является проникновение чтобы повредить защиту: продуктовые магазины, водоснабжени  и лояльность защитников,это опасный маневр почти самоубийство.Те кого вы отпавите будут иметь низкие шансы на возвращние,но в случае успеха,они могли бы нанести огромный урон противнику.Вы должны заплатить 600 шиллингов.Какой тип саботажа вы хотели бы использовать?
qstr_Poison_the_{s2}_s_wa|Отправить {s2}'s водоснабжения.
qstr_Kill_the_{s2}_s_catt|Убейте {s2}'s крупный рогатый скот
qstr_Burn_the_{s2}_s_food|Ограбить {s2}'s продуктовые магазины.
qstr_Subvert_the_{s2}_s_d|Подорвать {s2}'s защитников.
qstr_A_group_of_chosen_me|Группу избранных мужчин будет отправлено отравить запасы воды.
qstr_A_group_of_chosen_men|Группу избранных мужчин будет отправлено убить рогатый скот.
qstr_A_group_of_chosen_men_|Группа отборных воинов будет направлены, чтобы сжечь зернохранилища.
qstr_A_group_of_chosen_men_w|Группу избранных мужчин будет отправлено подорвать вражеских защитников.
qstr_You_do_not_have_the_ У|вас нет 600 шиллинговs для оплаты этой миссии.
qstr_Send|Отправить
qstr_You_are_hiring_a_mes|Вы нанимаете гонца.^Вы можете принять три решения: отдать приказ, изменить отношение и заключить дипломатию.
qstr_Message_Type:|Тип сообщения:
qstr_Select_a_Place_for_y|Выберите место для ваших приказов:
qstr_>>_Orders:^_You_cann|>> Приказ:^ Вы не можете отдавать приказы господина, который не принадлежит вашему царству.
qstr_Orders:_None.|Приказ: Нет.
qstr_Orders:_Meet_and_Fol|Приказ: Встретиться и следовать за ними.
qstr_Orders:_Go_to_a_Plac|Приказ: Перейти.
qstr_Orders:_Patrol_an_Ar|Приказ: Патруль области.
qstr_Orders:_Besiege_a_Pl|Приказ: Стоять на месте.
qstr_>>_Relations:^This_l|>> Отношения:^Этот лорд принадлежит вашему царству.
qstr_Relations:_None.|Отношения: Нет.
qstr_Relations:_Insult_an|Отношения: Оскорбить и спровоцировать.
qstr_Relations:_Send_a_Gi|Отношения: Отправить подарок.
qstr_>>_^^Diplomacy:^It_i|>>_^^Дипломатия:^Только с лидерами фракций можно вести переговоры ^ -- если вы его самостоятельно.
qstr_Diplomacy:_None.|Дипломатия: Нет.
qstr_Diplomacy:_Suggest_a|Дипломатия: Предложить альянс.
qstr_Diplomacy:_Suggest_P|Дипломатия: Предложить мир.
qstr_Diplomacy:_Declare_W|Дипломатия: Объявить войну.
qstr_You_want_to_order_{s|Вы хотите сказать {s9} чтобы встретиться и следовать за вами.
qstr_You_want_to_order_{s9|Вы хотите сказать {s9} чтобы перейти к ...
qstr_You_want_to_order_{s9}|Вы хотите сказать {s9} патрулировать вокруг ...
qstr_You_want_to_order_{s9}|Вы хотите сказать {s9} остановиться ...
qstr_You_want_to_send_a_m|Вы хотите отправить сообщение оскорбить и провоцировать {s9}. Возможно, это заставит его напасть на вас.
qstr_You_want_to_send_a_g|Вы хотите отправить в подарок кольца, браслеты и другие украшения на сумму 2000 шиллингов до {s9}, с целью улучшения ваших отношений.
qstr_You_want_to_invite_{|Хотите пригласить {s9} чтобы договориться о союзе.
qstr_You_want_to_make_pea|Вы хотите помириться с {s9}.
qstr_You_want_to_declare_|Вы хотите объявить войну {s9}. Помните что объявив войну без плохих отношений, это может привести к недоверию вам других королевств.Особенно если твое королевство находиться в перемирии с кем то.
qstr_No_message_chosen.|Нет выбранных сообщений.
qstr_>_You_are_sending_a_|> Вы отправляете сообщение для {s9}^^> Расстояние: {reg2} км.^^> Пакет услуг составит стоимость {reg3} шиллингов.^^^> {s10}
qstr_You_have_not_chosen_|Вы еще не выбрали сообщение для отправки.
qstr_This_place_is_alread|Это место уже осаждено другой областью.
qstr_You_have_good_relati|У вас хорошие отношения с этим королевством. Ваш лорд не может атаковать его.
qstr_You_re_already_at_pe|Ты уже заключил союз с этим королевством. Необязательно отправлять гонца.
qstr_You_need_to_improve_|Вы должны улучшить свои отношения с этим царством, прежде чем предлагать союз.
qstr_You_already_have_an_|Вы уже заключили союз с этим королевством. Подождите окончания альянса, прежде чем отправить свое ходатайство.
qstr_You_are_already_at_w|Вы уже ведете войну с этим королевством.
qstr_You_do_not_have_the_n|У вас нет необходимого количества шиллингов для оплаты курьеру.
qstr_This_is_a_hardcore_m|Это хардкордный режим вторжения.^^Респаун возможен только в начале раунда.
qstr_Please_wait.^Player_|Подождите пожалуйсто.^Респаун игрока будет возможен {reg11?после {reg10} раундов: Следующий раунд}...
qstr_Port_of_{s1}|Порт {s1}
qstr_Refill_Supplies|Заправочные материалы
qstr_{s1}_of_the_{s3}_was|{s1} из {s3} потерпел поражение в бою, но сумел бежать.
qstr_{s54}_is_a_claimant_|{s54} является претендентом на престол {s56}.
qstr_nowhere|нигде
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_The_town_of_{s50}|Город {s50}
qstr_The_village_of_{s50}|Деревня {s50} возле {s52}
qstr_{s51}_belongs_to_{s1|{s51} принадлежит {s1} из {s2}.^
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}It_has_no_villag|{s2} Он не имеет деревни.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Его деревни:Ее деревни} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Ее процветание: {s50}
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s21}._The_{s8}_decl|{s21}. {s8} объявил войну выполнив свои союзные обязательства.
qstr_The_{s5}_has_been_de| {s5} был побежден!
qstr_{s7}_opened_the_gate|{s7} открыл ворота.
qstr_{s7}_closed_the_gate|{s7} закрыл ворота.
qstr_You_have_received_{r|Вам нанесен {reg5} критический урон!
qstr_You_have_dealt_{reg5|Вы получили {reg5} критический урон!
qstr_You_have_received_{re|Вы получили {reg5} критический удар в голову, и на время потеряли зрение!
qstr_You_unleash_your_bat|Вы раскрыли свою боевую ярость !!!
qstr_You_feel_exhausted_a|Вы чувствуете что исчерпали весь свой гнев !!!
qstr_Your_strength_is_bac|Ваша сила восстановлена.
qstr_The_sound_of_your_si|Звук горна с вашей стороны, дает вам почувствовать себя сильнее!
qstr_The_sound_of_the_ene|Звук горна со стороны врага, заставляет вас усомниться в себе.
qstr_You_are_no_longer_af|Вы больше не обращаете внимание на звук горна.
qstr_{reg1}_ally_troops_w|{reg1} союзные войска протрубили в горн!
qstr_No_ally_troops_were_|Союзные войска не протрубили в горн.
qstr_Your_supplies_are_re|Ваш материалы пополняются повторно.
qstr_Grants_+{reg1}_to_pa|Грантов +{reg1} для повышение морали группы
qstr_Increases_morale_dur|Увеличивает боевой дух во время боя
qstr_Heavy_Armour:_you_su|Тяжелая Броня: вы получаете высокий штраф к определенным навыкам.
qstr_Medium_Armour:_you_s|Средняя броня: штраф к определенныым навыкам.
qstr_Heavy_Equipment:_you|Тяжелая техника: вы получаете штраф к определенным навыкам.
qstr_Ritual_Equipment:_Ad|Ритуальное оборудование: пПреимущества в определенных навыках
qstr_Improves_leadership_|Улучшает руководство и убеждение.
qstr_Requires_{reg1}_inte|Требуется {reg1} интеллекта для чтения этой книги
qstr_Reading_Progress:_{r|Прогресс чтения: {reg1}%
qstr_wound_treatment|Лечение ран
qstr_trainer|Тренер
qstr_surgery|Хиррургия
qstr_persuasion|Убеждение
qstr_You_are_so_tired_you|Вы так устали что не можете пошевелиться. Вы сможете нанести только половину повреждения, и вы не можете запустить.
qstr_You_suffer_a_serious|Вы страдаете от серьезной травмы головы. (-1 интеллегенции)
qstr_You_suffer_a_serious_|Вы страдаете от серьезных травм на лице. (-1 харизмы)
qstr_You_suffer_a_serious_i|Вы страдаете от серьезного повреждения одной з вашей конечности. (-1 ловкость)
qstr_You_suffer_a_serious_in|Вы страдаете от серьезной травмы вашему телу. (-1 прочность)
qstr_Your_weapon_broke!|Ваше оружие сломалось!
qstr_Your_weapon_was_dama|Ваше оружие повредилось!
qstr_You_take_1_damage_fr|Вы приобретаете 1 ущерб от потери крови.
qstr_You_have_received_{reg|Вы получили {reg5} критический удар в голову, и теряете сознание!
qstr_You_have_received_{reg5|Вы получили {reg5} критический урон вашему телу!
qstr_You_have_caused_{reg|Вы вызвали {reg5} критический дополнительный урон!
qstr_You_have_caused_{reg5|Вы вызвали {reg5} к непоправимому повреждению вашего врага сзади!
qstr_You_have_received_{reg5}|Вы получили {reg5} критический урон сзади!
qstr_MENU_ERROR:_CAM!|MENU ОШИБКА: CAM!
qstr_You_have_obtained_th|Вы получили ключи от тюрьмы.
qstr_{!}TEST:_There_is_a_|{!}ТЕСТ: В наших рядах трус!
qstr_TEST:_Banner_courage|ТЕСТ: Применяется много бонусов к баннеру!
qstr_We_lost_a_quarter_of|Мы потеряли четверть наших войск за очень короткое время. Сердца наших войск наполнены страхом.
qstr_Half_of_our_army_has|Половина нашей армии пала в течении очень короткого времени. Войска в панике!
qstr_The_enemy_lost_a_qua|Враг потерял четверть своих войск за очень короткое время. Сердца войск противника наполнены страхом.
qstr_Half_of_the_enemy_ar|Половина армии врага пала в течении очень короткого времени. Его войска в панике!.
qstr_TEST:_ally_delta_cou|ТЕСТ: мужество союзников = {reg1}, враги мужество = {reg2}
qstr_You_fall_and_your_tr|Вы отступаете, ваши войска в панике!
qstr_Our_side_lost_a_lead|Наши войска потеряли лидера.Наши воины в панике!
qstr_The_enemy_lost_a_lea|Противник потерял лидера. Его войска в панике!
qstr_Scout_report:_We_ve_|Разведчик докладывает: Мы достигли древнего памятника,мешают только скалы чтобы до него добраться. Но реальным препятствием является враг который скрывается в скалах .^^Вы спрашиваете: Скалы? Тогда пусть они станут гробами для врага!
qstr_Scout_report:_A_bog_|Разведчик докладывает: Впереди болотистая местность и топи, мы должны быть осторожными. Стойте!^^Воин указывает рукой: Что это там на дереве впереди? Зло таиться вокруг.
qstr_While_exploring_an_a|Изучая какое то время заброшенный римский форт, разведчик сообщает вам: Командир мы не можем оставаться здесь больше. Враг замечен за холмом. Какие будут ваши приказания?
qstr_Stretched_out_before|Перед вами открывается вид на полуразрушенную некогда великую стену. Враг на позиции по другую сторону стены.^^Военный советник рядом с вами говорит: Будем надеяться что она защитит нас лучше чем римлян.
qstr_The_scout_returns_an|Разведчик возвращается и сообщает вам, 'Враг замечен за деревней. Местные жители спрятались в одном из домов. Они слишком многого натерпелись.'^^'Как мы... Как мы...' вы что то бормочите.
qstr_Formations_turned_OF|Формации отключены в меню настроек
qstr_All_around_you_unfol|ВСе что вокруг вас это мир БОГА, Ора и Лабора, где у людей свои привычки и обычаи.Они заняты своей работой, останавливаясь лишь только чтобы поесть, поспать и помолиться.
qstr_You_must_stay_behind|Вы должны остаться за линией на земле! Дело не в счет.
qstr_Tutorial|Учебник
qstr_Everybody_back_on_th|Все на корабль! Поспешите!
qstr_Sea_Info_Tutorial|Инфоормация о море
qstr_A_huskarl_shouts__Me|Хурскал кричит, 'Люди! Слушайте! Удерживайте эту линию обороны, и мы победим! Те кто устоит и останется в живых значит настоящий викинг. Мы датчане, мы воины!'
qstr_A_huskarl_shouts__Th|Хускарл кричит, 'Тор! Услышь наш боевой клич и подготовь Вальхаллу! Сегодня мы пообедаем в наших залах!'
qstr_From_the_boat_you_se|Вы видите как на холме деруться двое мужчин. Вы видите как Бодо, окружают враги, но он борется за свою жизнь...
qstr_Haraldr_calls_out:_C|Харальд кричит: Давайте! Поспешите! У нас нет целого дня. Присмотрите за рабами, потом встретитесь со мной!
qstr_The_stranger_shouts:|Кричит незнакомец: 'Эй! Меня зовут Оливер,известный своими серебристыми волосами. Я так понимаю вы разыскиваете моего брата Свена Бычью Шею. Меня это не волнует. Я пришел от имени Сигурда Рагнарссона, чтобы совершить обмен ваша мать на Бодо.'
qstr_The_stranger_shouts:| Кричит незнакомец: 'Эй! Меня зовут Оливер,известный своими серебристыми волосами. Я так понимаю вы разыскиваете моего брата Свена Бычью Шею. Меня это не волнует. Я пришел от имени Сигурда Рагнарссона, чтобы отдать вам вашу мать.'
qstr_Egil_yells__Heill_Ol|Эгиль кричит, 'Эй Оливер серебрянные волосы! Я слышал о тебе и о твоем соглашении с Локки. Пускай мой друг присоединиться  {reg59?нему:ней} к вашей матери, прежде чем мы продолжим этот разговор.'
qstr_Olvir_shouts:__Sure_|Оливер кричит: 'Конечно Эгиль бастард короля, я слышал о вас тоже, и вижу что вы стали голосом {playername}, предатель Киннемерланда(историческая область в Нидерландах). Он будет говорить с нашей заключенной. Я приведу ее вам.'
qstr_Mission:_Speak_to_yo|Миссия: Поговорите со своей матерью.
qstr_Suddenly_Olvir_shout|Неожиданно Оливер кричит: 'Воины. Стену щитов. Сейчас же! Рагнар! Сигурд! Один! Смерть врагам!
qstr_The_old_hero_is_too_|Старый герой не по силам вам. Вы падаете в луже крови, жизнь угасает в ваших глазах...
qstr_The_old_hero_is_too_m|Старый герой не по силам вам. Вы лежите побитый и ранненый у его ног. Только милость старого вояки удерживает его от убийства вас.
qstr_You_have_beaten_the_| Вы избили старого героя, так началось ваше легендарное путешествие.
qstr_Beda_cries_out__Oh_m|Бодо кричит, 'О мой Бог! Боже мой! Я услышал шум! Они следовали за мной! Воины Свена следовали за мной! Не дай бог!'
qstr_The_old_captain_is_t|Старый капитан не по силам вам. Вы падаете в луже крови, жизнь угасает в ваших глазах...
qstr_The_old_captain_is_to|Старый капитан не по силам вам. Вы лежите побитый и ранненый у его ног. Только милость старого капитана удерживает его от убийства вас.
qstr_You_have_beaten_the_o|Вы избили старого капитана, так началось ваше легендарное путешествие.
qstr_Today_is_a_good_day_|Сегодня хороший день чтобы умереть, не так ли?'
qstr_The_battle_against_t|Бой с бандитами был тяжелым, но ты победил. Вы ищите схрон бандитов и находите что то похожее на отверствие в скале, фортуна улыбнулась вам, вы нашли деньги.
qstr_You_have_killed_all_|Вы убили всех викингов и освободили рабов. Что принесло вам славу и известность.
qstr_You_look_up_and_now_|Вы смотрите выше и видите что деревня уже захвачена викингами, и теперь вы их новая добыча.
qstr_After_a_hard_battle_|Бой был тяжелым, вы победили викингов которые хотели устроить засаду на вас. Теперь их богатство ваше, но вы особенно рады увидеть среди него части для кольчуги.
qstr_If_you_want_to_cross|Если вы хотите перейти мост то должны заплатить Троллю!
qstr_The_troll_is_dead_at|Троль лежит мертвый у ваших ног, так что вы можете забрать все  сокровище себе которое он вымогал у путешественников, а также и его берлогу.
qstr_Come_closer_closer_c|Подходи не бойся, еще ближе , я здесь, совсем рядом. Пока что я один. Подходи и выиграй приз!
qstr_The_voice_continues:|Голос продолжает: 'Ох, какой я невежливый. Наконец ктото пришел чтобы увидеть меня, кто то действительно хочет сыграть и получить приз.'
qstr_The_voice_seems_to_b|Голос кажется становиться ближе: 'Кто ты и почему здесь? Ты пришел ко мне в гости, ты тот кто вышел из народа чтобы раз и навсегда пресечь их страхи.'
qstr_A_voice_is_coming_fr|Голос из руин: 'Кто -то посетил древние руины прошлого? Кажется кто то очень смелый, так как сюда никто не заходит никогда из за страха перед призраками.'
qstr_Your_own_life_seems_|Ваша жизнь кажется не такой тяжелой, видя как эти бедняги рабочие ради куска хлеба загоняют себя раньше времени в могилу чтобы выжить.
qstr_The_rattle_of_spikes|Оглушительный хлопок по камню. Ниже вы видите как народ трудиться под руководством бригадира.
qstr_Bodo_has_received_ma|Бодо получил множество ударов и в полубессознательном состоянии
qstr_Bandits_strike_at_yo|Бандиты ударяют вас в неистовстве, и вы падаете в лужу крови. Они думают что ты мертв...
qstr_The_bandits_and_slav|Бандиты и работорговцы были рассмотрены. Получить заключенных и выходите через воздух вала.^^Если вы хотите их оставить, нажмите клавишу TAB для выхода.
qstr_You_have_just_killed|Вы только что убили основных телохранителей Бандита Короля. Порывшись в его вещах вы находите кое-что ценное.
qstr_Rising_victorious_ov|Вы одержали победу над Королем Бандитов, ваш клинок обагрен их кровью, вы положили конец налетам, террору и бандитизму навсегда. Среди тел воинов некогда гордого короля налетчика вы видите:
qstr_The_body_of_Atli_Eir|Атли Эйрикссон, бывший второй человек Сигурд Рагнарсона, лежит у ваших ног. Вы роетесь в его одежде и находите в левом кармане оборванных брюк окровавленный пергамент со сломанной печатью. Это письмо от Бодо.
qstr_As_you_advance_you_f|Раскрыв письмо вы видите что там ничего не написано. Кажется что-то скрыто в этом листе от чужих глаз.
qstr_You_feel_the_tension|Вы ощущаете напряженность с каждым принятым шагом.
qstr_The_mouth_of_a_rock_|Перед вами открывается вид на скалы. Вокруг один лишь холодный камень, вы замечаете надписи на камне которые наверняка что то означают. Какие сюрпризы и сокровища спрятаны здесь?
qstr_You_are_overwhelmed_|Вы уходите в прошлое. Людей которые это воздвигли уже давно нет, времена когда тут было веселье давно прошли. Мы пили и рассуждали о нашей жизни... Кто бы бог жить вечно?
qstr_On_the_right_you_see|Правее вы видите надпись , гласящая: Ливия красива, сказал Марк.
qstr_It_s_cold_and_smells|Холодно и пахнет стариной, перенося вас в назад... в то время когда миром правил РИМ, а люди знали как строить здания в несколько этажей.^^Бассейны, старые номера отдыха, раздевалки...все это покрыто пылью, и заросло дикой ежевикой.
qstr_Refugees_and_deserte|Беженцы и перебежчики сделали это место своим домом. Они находятся под защитой магии прошлого, друида и кровью своих жертв.
qstr_Not_far_away_on_top_|Не далеко, на вершине холмов, вы видите несколько каменных кругов древних. На этом месте вы представляете себе, что можете почувствовать магию, как будто немного старой религии кельтов до сих пор борется за выживание здесь.
qstr_The_magnificence_of_|Великолепие этого места до сих пор удивляет. Люди приходят, чтобы защититься вновь?
qstr_Time_and_neglect_has|Время и пренебрежение к старине разрушили то, что было раньше. В римские времена, это было основной стеной защищающей южные города от разрушения каледонцами. Она упала давно, но жизнь все еще можно найти под обломками
qstr_Reginhard_shouts__Al|Регинхард кричит, 'Все, что я хотел, это ферма, жена и дети. Я не хочу твоей смерти, но я не хочу умереть. Извините, {playername}. Извините, но придется тебя убить.'
qstr_Egil_shouts__You_ll_|Эгиль кричит, 'Ты пожертвуешь жизнью ради бастарда и предателя Регинхарда?. Ты выбрал свой путь, поэтому после твоей смерти я стану командиром твоих людей и поведу их к славе, не то что они у тебя постоянно находятся в тени славы.'
qstr_Sigurd_shouts__I_hav|Сигурд кричит, 'У меня более чем 800 воинов, готовых пойти на Британию и поддерживать своих братьев. Но все что я слышу здесь о викингах, мешает им сейчас идти на войну.'
qstr_King_Horik_yells__Si|Король Хорик кричит, 'Сигурд, мы не преграждаем вам путь. На самом деле мы недовольны тем, что они уже не осталось.'
