dialogsfile version 2
5526
dlga_port_chief_travel:close_window|К сожалению, в настоящее время в порту нет пассажирских кораблей.
dlga_lord_ask_pardon:lord_ask_pardon_2|Хмм. Я мог бы использовать свое влияние, чтобы договориться о вашем прощении, {playername}, но есть люди, которые считают вас врагом. Они не будут удовлетворены, пока вы не выплатите дань. Вам нужно принести не меньше {reg16} динаров, чтобы завести хотя бы каких-то друзей в {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|Я не в праве что-либо предлагать. Вы должны поговорить с {s7}.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Да... У меня есть более важные заботы чем вы или ваши последователи. Однако, вы обидели моих подданных, и несправедливость требует компенсации в {reg16} денаров. Я предполагаю, что мог согласиться простить вас. Что вы на это скажете?
dlga_lord_ask_pardon:lord_pretalk.5|Я сожалею, но у меня нету денег, чтобы заплатить вам за прощение!
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|У меня есть такие деньги. {reg16} динаров.
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|Боюсь, такую сумму я выплатить не могу.
dlga_lord_ask_pardon_tribue_accept:close_window|Отлично, {playername}. Я использую эти деньги для того, чтобы смягчить гнев ваших недоброжелателей. Я уверен, вскоре пройдет молва, что {s4} больше не считает вас врагом.
dlga_lord_ask_pardon_tribue_accept:close_window.1|Превосходно, {playername}. Я использую деньги для того чтобы переубедить тех, кто могут возразить против вашего прощения. И я уверен, что скоро будет известно, что вы больше не враг {s4}.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Тогда я ничего не могу сделать для вас, {playername}. Нет денег - нет прощения.
dlga_lord_talk:lord_active_mission_1|Что касается задания, которое вы дали мне...
dlga_lord_talk:lord_switch_to_spouse|Давайте обсудим вопросы, связанные с нашим домом.
dlga_lord_switch_to_spouse:lord_pretalk|Давайте подождем, пока мы не в зале, моя жена, как трудно иметь дело с бытовой кадастрой и такими вопросами в этой области.
dlga_lord_switch_to_spouse:spouse_talk|Конечно, моя жена.
dlga_lord_talk:lord_request_mission_ask|У вас есть для меня задания?
dlga_lord_talk:combined_political_quests|Считаете, что мы можем помочь друг другу укрепиться в этих землях?
dlga_combined_political_quests:lord_pretalk|Сомневаюсь, что у нас с вами есть хотя бы какие-то общие интересы. 
dlga_combined_political_quests:lord_pretalk.1|Хм... Давайте обсудим это в более приватной обстановке - и позже. 
dlga_combined_political_quests:lord_pretalk.2|Хм.. У меня действительно есть идея, но это потребовало бы от Вас, что бы Вы не с кем имели противоречий. Если бы Вы подождали некоторое время, не входя в споры с другими лордами нашего царства, возможно мы могли договориться.
dlga_lord_talk:lord_ask_resign_marshalship|Я желаю покинуть пост маршала.
dlga_lord_ask_resign_marshalship:lord_pretalk|Пусть будет так. Я должен буду найти кого - то еще
dlga_lord_talk:lord_ask_enter_service|{s66}, я хочу предложить вам мой меч и вассальную присягу!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, я хочу присягнуть вам на верность и сражаться за вашу честь.
dlga_lord_talk:lord_ask_leave_service|{s66}, мне бы хотелось освободиться от клятвы, данной вам.
dlga_lord_talk:lord_talk_preoffer|У меня к вам есть предложение.
dlga_lord_talk:lord_give_troops|Я хочу передать вам часть войска.
dlga_lord_give_troops:lord_pretalk|Хорошо, мне как раз не хватает хороших бойцов. Спасибо.
dlga_lord_talk:lord_give_order_ask|У меня для вас новое задание.
dlga_lord_talk:lord_give_suggestion_ask|Могу я предложить план действий?
dlga_lord_give_order_ask:lord_give_order|Да?
dlga_lord_give_suggestion_ask:lord_give_order|Что такое?
dlga_lord_give_suggestion_ask:lord_pretalk|Прошу прощения, но я слишком плохо вас знаю, чтобы последовать вашему совету.
dlga_lord_give_suggestion_ask:lord_give_order.1|Что это?
dlga_lord_give_order:lord_give_order_answer|Следуйте за мной.
dlga_lord_give_order:lord_give_order_answer.1|Вы будете следовать за мной? У меня есть план...
dlga_lord_give_order:lord_give_order_details_ask|Отправляйтесь в...
dlga_lord_give_order:lord_give_order_details_ask.1|Совершите налет на деревню...
dlga_lord_give_order:lord_give_order_details_ask.2|Патрулируйте окрестности...
dlga_lord_give_order:lord_give_order_assault|Вместе мы сможем захватить {s11}. Но выдвигаться стоит немедленно...
dlga_lord_give_order:lord_give_order_details_ask.3|На нас напали, но врага можно обратить в бегство. Вам стоит двинуться к...
dlga_lord_give_order:lord_give_order_details_ask.4|На нас напали, но врага можно обратить в бегство. Вам стоит собрать армию и двигаться к...
dlga_lord_give_order_assault:lord_pretalk|Этой осадой командует {s4}. Предлагаю с {reg4?ней:ним} поговорить.
dlga_lord_give_order_assault:lord_pretalk.1|Наша приготовления еще не окончены. Нам не хватает {s11}.
dlga_lord_give_order_assault:close_window|Так и быть, на стены!
dlga_lord_give_order:lord_give_order_details_ask.5|Здесь есть крепость, которую будет несложно захватить. Отправляйтесь в...
dlga_lord_give_order:lord_give_order_details_ask.6|Сюда идут бесчисленные вражеские войска. Отступайте к...
dlga_lord_give_order:lord_give_order_stop|Некоторое время вы не будете мне нужны. Можете заняться своими делами.
dlga_lord_give_order:lord_give_order_stop.1|Вам больше не нужно сопровождать меня.
dlga_lord_give_order:lord_pretalk|Не важно.
dlga_lord_give_order_details_ask:lord_pretalk|Я не стану поджимать хвост и убегать от врага, даже не увидев его воинов.
dlga_lord_give_order_details_ask:lord_pretalk.1|Хотите, чтобы мои люди истекли кровью под стенами крепости, пока остальные будут стоять и смотреть? Ну уж нет.
dlga_lord_give_order_details_ask:lord_give_order_details|Где?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Неважно.
dlga_lord_give_order_stop:lord_pretalk|Хорошо. На этом я и остановлюсь.
dlga_lord_give_order_answer:lord_give_order|Это едва было бы надлежащим. Было бы более уместно для Вас следовать за мной вместо этого.
dlga_lord_give_order_answer:lord_pretalk|Хорошо. Я так и сделаю.{s12}
dlga_lord_give_order_answer:lord_pretalk.1|Простите. Сейчас мне пора заняться своими делами.
dlga_lord_start:lord_talk.5|Что это?
dlga_lord_talk:lord_give_order_call_to_arms_verify|Я хочу начать новую кампанию. Давайте соберем здесь армию.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|Вы хотите собрать всех лордов для новой кампании?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Да, надо собрать все наши силы, прежде чем мы выступим на врага.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|Думаю, все-таки нет необходимости призывать всех и каждого.
dlga_lord_give_order_call_to_arms:lord_pretalk|Ладно. Я разошлю гонцов с приказом каждому прибыть сюда.
dlga_lord_talk:lord_give_order_disband_army_verify|Я хочу завершить эту кампанию и распустить всех по домам.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|Вы хотите закончить текущую кампанию и отпустить со службы всех вассалов?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Да. Все силы здесь нам больше не требуются.
dlga_lord_give_order_disband_army_2:lord_pretalk|Думаю, лучше пока держаться вместе.
dlga_lord_give_order_disband_army:lord_pretalk|Хорошо. Я дам всем знать, что они могут быть свободны.
dlga_lord_talk:lord_talk_ask_something|Мне бы хотелось кое-что спросить.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Да? И что же?
dlga_lord_talk_ask_something_again:lord_talk_ask_something_2|Что-нибудь еще?
dlga_lord_talk_ask_something_2:lord_talk_ask_location|Мне нужно узнать, где находится один человек.
dlga_lord_talk_ask_something_2:lord_tell_objective|Что вы и ваши люди тут делаете?
dlga_lord_talk_ask_something_2:lord_talk_ask_about_strategy|Как дела в государстве?
dlga_lord_talk_ask_about_strategy:lord_pretalk|Вы должны решить это, потому что Вы здесь Маршал.
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|Как дела на войне?
dlga_lord_talk_ask_something_2:lord_marriage_permission|{s19}
dlga_lord_marriage_permission:lord_pretalk|Святые небеса! Если я не разрешаю вам даже повидаться с ней, с какой стати мне благословлять ваш брак?
dlga_lord_marriage_permission:lord_pretalk.1|Я не собираюсь отдавать мою {s11} замуж против ее воли.
dlga_lord_marriage_permission:lord_pretalk.2|Простите, молодой человек. Я не собираюсь выдавать {s11} за вас. Пусть лучше станет женой {s12}.
dlga_lord_marriage_permission:lord_marriage_permission_endowment|Прекрасные новости, молодой человек! Я с радостью введу вас в нашу семью. Однако давайте обсудим условия брака. Согласно традиции, каждый из нас должен позаботиться о том, чтобы {s11} жила безбедно даже в случае непредвиденных обстоятельств.
dlga_lord_marriage_permission_endowment:lord_marriage_permission_endowment_answer|Принимая во внимание высокий статус наших домов, я считаю, что вы можете собрать приданое в {reg3}, а я - в {reg4} динаров. Эта сумма станет залогом благосостояния вашей супруги на случай, если вы не сможете обеспечить ей безбедную жизнь. Что скажете?
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_engagement_date|Хорошо, так и сделаем.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_delay|Пока что я не могу себе это позволить.
dlga_lord_marriage_permission_endowment_answer:lord_marriage_permission_endowment_answer_no|Это слишком много.
dlga_lord_marriage_permission_endowment_answer_no:close_window|Что ж. Принимая во внимание традиции и правила приличия, я не стану обрекать свою дочь на нищее существование. Если что-то придумаете, дайте мне знать.
dlga_lord_marriage_permission_engagement_date:close_window|Чудно! Можете считать, что вы официально помолвлены. По этому поводу я устрою в {s24} большой пир, как только смогу. Разумеется, вам сообщат, когда все будет готово.
dlga_lord_marriage_permission_engagement_date:close_window.1|К сожалению, осталась одна маленькая трудность - у нас нет безопасного места для проведения свадебной церемонии. Поэтому давайте пока воздержимся от свадьбы.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk|Ничего страшного, просто найдите нужную сумму. Я хочу, чтобы моя дочь ни в чем не нуждалась.
dlga_lord_marriage_permission_endowment_answer_delay:lord_pretalk.1|Какая жалость. Но я бы пошел против своего родительского долга, если бы отпустил от себя дочурку без хорошего приданого.
dlga_lord_talk_ask_something_2:lord_courtship_permission|{s10}, {s14} {s12} будет здесь?
dlga_lord_courtship_permission:lord_pretalk|До меня доходили слухи, что вы уже говорили с ней, не получив моего разрешения. Вот, что я на это скажу: я - ее защита и опора, и у меня на нее есть планы. Я не собираюсь терпеть перешептывания за спиной. Я в доме хозяин!
dlga_lord_courtship_permission:lord_pretalk.1|{s14}
dlga_lord_courtship_permission:lord_pretalk.2|{s12}
dlga_lord_talk_ask_something_2:lord_talk_ask_marriage_1|Что нужно сделать, чтобы заключить прочный союз с вашим домом?
dlga_lord_talk_ask_something_2:lord_pretalk|Не имеет значения.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Ладно. Может, я отвечу, а может - нет. О ком вы хотите узнать?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lady_pretalk|Неважно. 
dlga_lord_talk_ask_location_2:lord_pretalk|Забудьте.
dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Расскажите о войне с {s1}.
dlga_lord_talk_ask_about_war_2:lord_pretalk|Это все, что мне нужно было знать. Благодарю вас.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
dlga_lord_strategy_follow_evaluation:lord_talk_ask_something_2|У вас были другие вопросы?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up|Наш предводитель {s4} чересчур остороженна. {reg4?Он:Она} долженна либо напасть на врага во главе армии, либо отправляться домой.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.1|Наша армия топчется на одном месте и ничего не делает. Очевидно, на призыв ответило слишком мало вассалов. Возможно, {s4} не пользуется особой поддержкой лордов этого королевства.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.2|Я не соглашаюсь с этой стратегией. Считаю, что было бы лучше {s4}.
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.3|Лично я считаю, что лучше напасть на {s8}, но наш главнокомандующий, {s10}, считает, что это {s9}
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.4|Лично я считаю, что лучше оборонять {s8} вместо {s9}.
dlga_lord_strategy_follow_evaluation:lord_talk|Что нибудь еще?
dlga_lord_strategy_follow_evaluation:lord_strategy_follow_up.5|Эта стратегия кажется мне разумной.
dlga_lord_strategy_follow_up:lord_strategy_why_not|Если вы атакуете, то почему не...
dlga_lord_strategy_follow_up:lord_talk_ask_something_again|Понятно...
dlga_lord_strategy_follow_up:lord_talk_replace_marshal|Так вы хотите сказать, что {s4} не должен оставаться главнокомандующим?
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again|Надеюсь, что наше королевство решит вопрос с {s4} до того, как мы начнем обсуждать отставку главнокомандующего.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.1|Да. Моя позиция по этому вопросу совершенно ясна. Полагаю, что {s4} должен стать главнокомандующим вместо {s4}.
dlga_lord_talk_replace_marshal:lord_talk_ask_something_again.2|Я определюсь с решением и без ваших подсказок, {сударь/миледи}.
dlga_lord_talk_replace_marshal:lord_talk_replace_marshal_decision|Хмм...
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again|Полагаю, что да. А то уже хотелось сказать, что я поддерживаю {s15}. Хорошо, что мы с вами это обсудили, и теперь я знаю, что мы одного мнения по этому поводу.
dlga_lord_talk_replace_marshal_decision:lord_talk_ask_something_again.1|Не обязательно. {s4} и я можем иметь разное мнение по поводу стратегии, но это не значит, что я стремлюсь к его отставке.
dlga_lord_strategy_why_not:lord_strategy_why_not_select|Да?
dlga_lord_strategy_why_not_select:lord_talk_ask_something_again|Ничего
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason|...продолжение атаки на {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.1|...защита {s4}?
dlga_lord_strategy_why_not_select:lord_strategy_why_not_reason.2|...нападение на {s4}?
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat|{s9}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.1|Наш главнокомандующий {s11} полагает, что {s8} {s9}{s10}
dlga_lord_strategy_why_not_reason:lord_talk_why_not_repeat.2|Мы можем пойти туда. {s7} Однако, {s5} {s3} {s4}. {s6} {s8}.
dlga_lord_talk_why_not_repeat:lord_strategy_why_not_select|У вас были похожие вопросы? Почему мы не...
dlga_lord_talk_ask_marriage_1:lord_pretalk|Не принимайте мой ответ близко к сердцу, но у меня как у монарха есть другие планы на моих детей.
dlga_lord_talk_ask_marriage_1:lord_pretalk.1|Чтобы союз был надежным, вы можете закрепить его браком. К сожалению, в моем доме нет девушек на выданье.
dlga_lord_talk_ask_marriage_1:lord_courtship_pre_permission|{s15}
dlga_lord_talk_ask_marriage_1:lord_marriage_proposal_female_pc_confirm|Вы что, предлагаете нам пожениться?
dlga_lord_courtship_pre_permission:lord_courtship_permission|Могу ли я {s15} считаться женихом?
dlga_lord_courtship_pre_permission:lord_marriage_permission_engagement_date|ЧИТ - Заключить помолвку
dlga_lord_courtship_pre_permission:lord_pretalk|Не берите в голову.
dlga_lord_marriage_proposal_female_pc_confirm:lord_marriage_proposal_female_pc_reax|Да, таково мое предложение.
dlga_lord_marriage_proposal_female_pc_confirm:lord_pretalk|Нет. Думаю, вы неправильно меня поняли.
dlga_lord_marriage_proposal_female_pc_reax:lord_pretalk|{s14}
dlga_lord_marriage_proposal_female_pc_reax:lord_marriage_proposal_female_pc_next_step|{s14}
dlga_lord_marriage_proposal_female_pc_next_step:lord_marriage_proposal_female_pc_next_step_4|Полагаю, теперь мне следует отправить послание вашей семье, чтобы они разрешили вам выйти замуж. Впрочем, мне кажется, вы вправе принимать собственные решения.
dlga_lord_marriage_proposal_female_pc_next_step_4:lord_marriage_proposal_female_pc_next_step_5|Вы совершенно правы.
dlga_lord_marriage_proposal_female_pc_next_step_5:lord_marriage_proposal_female_pc_confirm_engagement|Прекрасно. Раз у нас нет причин откладывать свадьбу, стоит ли нам подумать о помолвке? Я созову гостей на пир, и вы с женихом сможете обменяться клятвами перед лицом знати. Если пожелаете...
dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_yes|Да, пожелаю.
dlga_lord_marriage_proposal_female_pc_confirm_engagement:lord_marriage_proposal_female_pc_confirm_engagement_no|Вообще-то, мне надо подумать.
dlga_lord_marriage_proposal_female_pc_confirm_engagement_yes:close_window|Хорошо. С божьей помощью, через месяц с небольшим вы станете мужем и женой.
dlga_lord_marriage_proposal_female_pc_confirm_engagement_no:close_window|Конечно, милая. Думайте, сколько сочтете нужным.
dlga_lord_talk:party_encounter_lord_hostile_ultimatum_surrender|Я дважды не повторяю, {s4}! Сдавайтесь или умрете!
dlga_party_encounter_lord_hostile_ultimatum_surrender:close_window|{s43}
dlga_lord_talk:lord_predemand|Я здесь, чтобы передать вам свои требования!
dlga_lord_predemand:lord_demand|А? Чего вы хотите?
dlga_lord_demand:lord_ultimatum_surrender|Я предлагаю вам единственный шанс - сдавайтесь, или вы умрете.
dlga_lord_ultimatum_surrender:lord_attack_verify|{s43}
dlga_lord_attack_verify:lord_attack_verify_cancel|Простите меня, повелитель. Я не знаю, как так получилось.
dlga_lord_attack_verify_cancel:close_window|Тогда убирайтесь.
dlga_lord_attack_verify:lord_attack_verify_commit|Это не ваше дело! Готовьтесь к бою!
dlga_lord_ultimatum_surrender:lord_attack_verify_b|{s43}
dlga_lord_attack_verify_b:lord_attack_verify_cancel|Простите меня, повелитель. Я не знаю, как так получилось.
dlga_lord_attack_verify_b:lord_attack_verify_commit|Я не изменю решения. Готовьтесь к бою!
dlga_lord_attack_verify_commit:close_window|{s43}
dlga_lord_demand:lord_pretalk|Простите меня. Ничего не случилось.
dlga_lord_talk:liege_defends_claim_1|В странствиях мне повстречался человек по имени {s45}...
dlga_liege_defends_claim_1:liege_defends_claim_2|Да вы что? Не каждый рискнет упомянуть это имя в моем присутствии. Даже не знаю, наградить ли вас за смелость или наказать за дерзость.
dlga_liege_defends_claim_2:liege_defends_claim_3|Ладно. Я удовлетворю ваше любопытство. Но слушайте внимательно, потому что повторять я не стану.
dlga_liege_defends_claim_3:liege_defends_claim_4|{s48}
dlga_liege_defends_claim_4:lord_talk|{s48}
dlga_lord_join_rebellion_suggest_cheat:close_window|Чит: Хорошо.
dlga_lord_talk:lord_prison_break_chains|Я здесь, чтобы вызволить вас отсюда!
dlga_lord_prison_break_chains:close_window|Хвала небесам, вы пришли! Но я не смогу уйти отсюда с цепями на ногах. Попытайтесь забрать ключ у стражника.
dlga_lord_tell_objective:lord_pretalk|Что я делаю? Сами-то как думаете? Я тут в плену сижу!
dlga_lord_tell_objective:lord_pretalk.1|В настоящий момент я никем не командую.
dlga_lord_tell_objective:lord_pretalk.2|Мы отдыхаем в {s1}. {s14}
dlga_lord_tell_objective:lord_pretalk.3|Мы направляемся в {s1}. {s14}
dlga_lord_tell_objective_2:lord_pretalk|Я направляюсь в окрестности {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.4|Мы набираем новых бойцов в {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.5|Мы ищем врагов в окрестностях {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.6|Мы разоряем {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.7|Мы собираемся отступить в {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.8|Мы осаждаем {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.9|Мы сражаемся с {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.10|Я прикрываю наступление {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_pretalk.11|Мы сопровождаем {s1}. {s14}{s15}
dlga_lord_tell_objective:lord_talk_ask_about_strategy|Я командую армией державы.
dlga_lord_tell_objective:lord_pretalk.12|Мы обдумываем нашу следующую цель.
dlga_lord_tell_objective:lord_pretalk.13|Я не знаю: {reg1} {s1} (ОШИБКА)
dlga_lord_talk:lord_ask_follow|Пойдете со мной? У меня есть план.
dlga_lord_ask_follow:close_window|Я наслаждаюсь вашим обществом, {playername}, но у меня есть другие важные дела. Может быть, через несколько дней я смогу вновь к вам присоединиться.
dlga_lord_ask_follow:close_window.1|Вряд ли стоит это делать, {playername}. Почему бы вам вместо этого не последовать за мной?
dlga_lord_ask_follow:close_window.2|{s43}
dlga_lord_ask_follow:close_window.3|Показывайте, куда ехать, {playername}! Принесем же смерть и разорение всем нашим врагам!
dlga_lord_talk_preoffer:lord_talk_offer|Да?
dlga_lord_talk_offer:knight_offer_join|Я хочу выкупить одного из ваших пленников.
dlga_lord_talk_offer:lord_pretalk|Не важно.
dlga_knight_offer_join:hero_pretalk|Боюсь, что не могу присоединиться к вам сейчас, {playername} - у меня есть важные дела, которые не терпят отлагательства.
dlga_knight_offer_join:hero_pretalk.1|Вы забываетесь, {господин/госпожа}. От таких, как вы, я приказов не принимаю.
dlga_knight_offer_join:knight_offer_join_2|Я с удовольствием сражался бы на вашей стороне, друг мой, но есть одна проблема... Дело в том, что я оказался в долгах, и долг в {reg6} динаров мне придется выплатить совсем скоро. Для меня дело чести выплатить все в срок и до последней монеты. Если у вас нет {reg6} динаров, мне придется самому позаботиться о том, чтобы снять этот груз со своих плеч.
dlga_knight_offer_join:close_window|Присоединиться к вам? Думаю, что нет.
dlga_knight_offer_join:knight_offer_join_2.1|Да, друг мой, я с радостью к вам присоединюсь.
dlga_knight_offer_join_2:knight_offer_join_accept|Вот, возьмите, кошель с {reg6} динарами. Это всего-навсего деньги...
dlga_knight_offer_join_2:knight_offer_join_accept.1|Тогда едем вместе, друг мой!
dlga_knight_offer_join_2:close_window|Хорошо. Я об этом подумаю.
dlga_knight_offer_join_2:hero_pretalk|Хорошо. Я об этом подумаю.
dlga_knight_offer_join_accept:knight_offer_join_accept_party|В моем отряде есть верные люди, которые могли бы вам пригодиться. Как быть с ними?
dlga_knight_offer_join_accept:close_window|Да, конечно, было бы весело!
dlga_knight_offer_join_accept_party:knight_join_party_disband|Вы можете распустить своих людей. Мне не нужны дополнительные войска.
dlga_knight_offer_join_accept_party:knight_join_party_join|Ваши люди могут тоже присоединиться. Нам нужен каждый воин, которого мы можем взять.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out|Выводите своих людей из города. Я догоню вас по дороге.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out.1|Продолжайте заниматься своими делами. Я найду вас позже.
dlga_knight_join_party_disband:close_window|Эх... Ладно, {playername}. Очень мне не нравится терять хороших людей, но решение остается за вами. Я распущу свои войска и присоединюсь к вам.
dlga_knight_join_party_join:close_window|Отлично. Мы с моими ребятами поскачем с вами.
dlga_knight_join_party_lead_out:close_window|Ладно. Я пока осмотрю окрестности. Возвращайтесь, если у вас будут для меня другие приказы.
dlga_lord_enter_service_reject:close_window|Действительно... Тогда вы предлагали вассальную клятву, чтобы только протянуть время? Прекрасно - у вас будет время подумать, но если вы играете со мной, то это не пойдет на пользу вашей репутации.
dlga_lord_give_oath_give_up:close_window|Действительно... Тогда вы предлагали вассальную клятву, чтобы только протянуть время? Прекрасно - у вас будет время подумать, но если вы играете со мной, то это не пойдет на пользу вашей репутации.
dlga_lord_enter_service_reject:close_window.1|Что за гадость! Подумать только, и я собирался предложить вам место среди своих дворян! Прочь, нищее убожество, пока я не потерял терпения!
dlga_lord_ask_enter_service:lord_give_oath_under_oath_already|Вы ведь уже связаны клятвой с {s5}, разве не так?
dlga_lord_give_oath_under_oath_already:lord_pretalk|Именно так, {s65}. Простите меня.
dlga_lord_ask_enter_service:lord_pretalk|Я принимаю клятвы только от тех, кто может сдержать их, {playername}.
dlga_lord_ask_enter_service:lord_ask_enter_service_female_2|Моя госпожа, в вас видны задатки прекрасного военачальника. Для женщины Британии это крайне необычно, однако такие случаи уже имели место. Благородные дамы иногда брали на себя командование войсками, когда их отцы или мужья были убиты, либо попадали в плен.
dlga_lord_ask_enter_service_female_2:lord_ask_enter_service_female_response|Правда, мне никогда не доводилось слышать о женщине, получившей от короля надел не в виду заслуг, а потому что монарху был нужен еще один вассал. Сделай я так, мужи всей Британии придут в смятение. Люди скажут, что меня очаровали или заколдовали. А потому, как ни жаль, я не могу даровать вам земли.
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_capture|А что если я силой захвачу замки одного из ваших врагов?
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_marriage|А что если я выйду замуж за вашего вассала?
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service_female_solution_competitor|Может, один из ваших соперников окажется более благоразумен.
dlga_lord_ask_enter_service_female_response:lord_ask_enter_service|Я все равно буду сражаться за вас, с наделом или без.
dlga_lord_ask_enter_service_female_response:lord_pretalk|Тогда забудем.
dlga_lord_ask_enter_service_female_solution_marriage:lord_ask_enter_service_female_response|В этом случае я все равно не смогу даровать вам земли. Впрочем, вы с легкостью сможете заняться собственностью мужа, если он позволит вам действовать от своего имени. У вас еще есть вопросы?
dlga_lord_ask_enter_service_female_solution_competitor:lord_ask_enter_service_female_response|Возможно, положение какого-нибудь монарха столь плачевно, что вам удастся что-то получить. С другой стороны, у таких правителей обычно очень немного земли. У вас еще есть вопросы?
dlga_lord_ask_enter_service_female_solution_capture:lord_ask_enter_service_female_response|В таком случае, при благоприятных обстоятельствах, я мог бы согласиться оставить их вам. У вас еще есть вопросы?
dlga_lord_ask_enter_service:lord_give_oath_1|Вы известны как смелый воин и хороший командир, {playername}. Я буду рад принять вас на службу и стать вашим сеньором, если вы готовы принести мне вассальную клятву.
dlga_lord_ask_enter_service:lord_pretalk.1|Вы должны проявить себя как толковый командир, {playername}. Обагрите свой меч кровью моих врагов и докажите, что вы достойны стать моим вассалом. Тогда и поговорим.
dlga_lord_give_oath_1:lord_give_oath_2|Хорошо, {s65}.
dlga_lord_give_oath_1:lord_give_oath_give_up|Простите, {s65}, мне нужно сначала все хорошенько обдумать...
dlga_lord_give_oath_give_up:lord_pretalk|Конечно, милая. Думайте, сколько сочтете нужным.
dlga_lord_give_oath_give_up:close_window.1|Что это за игры, {playername}? Идите и решайте, и хватит тратить мое время попусту.
dlga_lord_give_oath_2:lord_give_oath_3|Хорошо. Тогда повторяйте слова клятвы вслед за мной: "Клянусь хранить верность вам, законному правителю {s41}".
dlga_lord_give_oath_3:lord_give_oath_4|Я обязуюсь хранить верность вам, как законному правителю {s41}.
dlga_lord_give_oath_3:lord_give_oath_give_up|Простите меня, {reg65?моя госпожа:мой господин}. Я чувствую, что мне нужно обдумать все это.
dlga_lord_give_oath_4:lord_give_oath_5|Я буду верно следовать за вами, пока не оборвется моя жизнь...
dlga_lord_give_oath_5:lord_give_oath_6|Я буду верно следовать за вами, пока не оборвется моя жизнь...
dlga_lord_give_oath_5:lord_give_oath_give_up|{reg65?Моя госпожа:Мой господин}, могу я попросить дать мне немного времени на раздумья?
dlga_lord_give_oath_6:lord_give_oath_7|... и буду сражаться с врагами вашими, если вам понадобится мой меч.
dlga_lord_give_oath_7:lord_give_oath_8|... и буду сражаться с врагами вашими, если вам потребуется мой меч.
dlga_lord_give_oath_7:lord_give_oath_give_up|{reg65?Моя госпожа:Мой господин}, дайте мне, пожалуйста, еще немного времени на раздумья.
dlga_lord_give_oath_8:lord_give_oath_9|И, наконец, я буду поддерживать ваши законные притязания и таковые же - ваших законных наследников.
dlga_lord_give_oath_9:lord_give_oath_10|И, наконец, я буду поддерживать ваши законные притязания и таковые же - ваших законных наследников.
