str_no_string|NO STRING!
str_npc8_kingsupport_2|Да, но при одном условии. Если вы будете королем в Lundenwic или Cantwareburh, или в любом другом месте, в котором захотите, то после того, как обоснуетесь в замке, и ваше правление никто не будет оспаривать, вы поможете мне завоевать мой собственный трон во Фризии. И мы будем как братья, каждый со своим королевствами.
str_npc9_kingsupport_2|Да, командир, и остальные тоже. Но вот, что я думаю -- вам нужно показать знати, что вы будете уважать их древние права. Прямо сейчас в Британии бардак -- лорды владеют землей, за исключением лесов, которыми владеет король; но город имеет право собирать налоги на вьезд в их ворота, а население может пользоваться пастбищами по нечетным вторникам, за исключением земли пиктов, где вообще нет никакого порядка. Это я к тому, что вы можете все упростить все так, как было в былые дни, еще когда римляне не завоевали Британию -- самым главным является король, затем идет знать, а после все остальные. 
str_npc10_kingsupport_2|Конечно, друг. Но я попрошу вас принять во внимание мои мысли. Если вы станете {королем/королевой}, я прошу вас пускать даровать дворянский титул только саксам, игнорируя британцев и мерсийцев -- они слабы, тщедушны и трусливы, и место им в вашем королевстве среди крестьян, слуг и рабов.
str_npc11_kingsupport_2|Конечно да! Судя потому, что вы делаете, как руководите и сражаетесь, а также по тому, как вы говорите и любите...вы единственный достаточно благородный человек для того, чтобы стать, как когда-то сказал король Артур, "Penteyrnedd yr Ynys hon" или "Военачальником лордов этого острова".
str_npc12_kingsupport_2|Конечно, командир. Но если я чему-то и научился во время путешествий по этому острову, так это тому, что бритты, саксы, мерсы и все остальные являются сторонниками традиций.  Все делается так, как делалось в дни Римской империи -- не взирая на то, что не больше сотни из них знают латынь достаточно для того, чтобы читать имперские Хроники! Торговцы Din Eidyn выдают замуж своих дочерей в соответствии с "имперскими" обрядами. Пастухи Seals-Ey взбивают "имперское" масло. И конечно, каждый король коронуется в соответствии с "имперскими" правилами.
str_npc13_kingsupport_2|Да, сэр. Я думаю, вы сможете объединить этот остров, и тогда мы будем способны собрать такую армию, какой Британия никогда не видела -- саксов, англов, пиктов, джутов, гойделов и британцев в одну большую и непобедимую стену щитов. Мы пойдем на континент на крепких судах, дабы покорить все земли, в которых когда-то Римская Империя имела влияние -- и Британия станет местом возрождения Римской Империи!
str_npc14_kingsupport_2|Конечно, мой/-я {лорд/леди}. Кстати, для претендента на трон нет ничего постыдного в том, чтобы стать темой для эпической поэмы, которая будет читаться у многочисленных костров и очагов, описывая ваши деяния. Как вы без сомнения знаете, я считаю себя хорошим мастером по сложению куплетов. Вы можете стать так же знамениты, как Кухулин, если позволите мне воспеть ваши дела.
str_npc15_kingsupport_2|Да. Люди могут сказать, что, возможно, королевская кровь и не течет в ваших венах. Но, насколько я могу видеть, королевская кровь делает людей ужасными скрягами. Короли и лорды берут займы и ссуды на постройку своих дворцов, не задумываясь о том, что их нужно возвращать простым людям, которые просто хотят поесть после тяжелого трудового дня. Как по мне, так честный язык делает человека {королем/королевой}, а не причудливая родословная.
str_npc16_kingsupport_2|Конечно. Я вижу, вы планируете найти и уничтожить любые остатки ереси и язычества на это острове. Я вижу, что вы будете отдыхать, только когда не останется следов демона в сердцах ваших подданных, когда каждый мужчина, женщина и ребенок будет руководствоваться только Святым Писанием и советами жреца. Настолько ли чисты ваши намерения, насколько я говорю?
str_npc_bashe_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_sange_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_paintrain_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_hammertime_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_tank_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_backwoodsharry_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_deadeye_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_probulator_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_grim_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc_enchantress_kingsupport_2|Конечно, мой/-я {лорд/леди}. Я очень хорошо помню, как вы спасли меня в темной таверне, и подарили мне новую жизнь. Я буду путешествовать по земле, рассказывая о том, как вы дарите надежду даже тем людям, что не видят уже ничего кроме отчаяния.
str_npc1_kingsupport_2a|Пожалуйста, продолжайте...
str_npc2_kingsupport_2a|Пожалуйста, продолжайте...
str_npc3_kingsupport_2a|Пожалуйста, продолжайте...
str_npc4_kingsupport_2a|Конечно - позвольте мне рассказать о нем.
str_npc5_kingsupport_2a|Пожалуйста, продолжайте...
str_npc6_kingsupport_2a|Замечательно, это как раз то, о чем я думал.
str_npc7_kingsupport_2a|Ну хорошо, я постараюсь быть справедливым к каждому...
str_npc8_kingsupport_2a|Достаточно справедливо.
str_npc9_kingsupport_2a|Звучит довольно разумно...
str_npc10_kingsupport_2a|Конечно - каждый знает, что только саксы достойны быть дворянами.
str_npc11_kingsupport_2a|Расскажите мне больше.
str_npc12_kingsupport_2a|Интересно. Пожалуйста, продолжайте...
str_npc13_kingsupport_2a|Пожалуйста, продолжайте...
str_npc14_kingsupport_2a|Что ж, согласен, вы - великий бард.
str_npc15_kingsupport_2a|Хорошо сказано, добрый человек
str_npc16_kingsupport_2a|Конечно: мы все - лишь инструменты в руках Божьих.
str_npc_bashe_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_sange_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_paintrain_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_hammertime_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_tank_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_backwoodsharry_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_deadeye_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_probulator_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_grim_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc_enchantress_kingsupport_2a|Интересно... Продолжайте, пожалуйста
str_npc1_kingsupport_2b Забудьте_об_этом.
str_npc2_kingsupport_2b Я_не_буду_просить_их_поддержки,_потому_как_они,_без_сомнения,_захотят_навариться_на_сделке.
str_npc3_kingsupport_2b У_меня_нет_намерений_помогать_остальным_рабам,_простите.
str_npc4_kingsupport_2b К_несчастью,_у_меня_его_нет.
str_npc5_kingsupport_2b Нет,_я_думаю,_что_лорды_должны_решать_свои_споры_кровью,_и_только_кровью._Законы_нужны_слабым.
str_npc6_kingsupport_2b Простите,_но_мое_будущее_королевство_не_будет_вмешиваться_в_отношения_континентов.
str_npc7_kingsupport_2b Простите,_но,_даже_если_я_уважаю_вас_за_ваши_способности,_воины,_мужчины_и_бритты_обычно_куда лучше_остальных.
str_npc8_kingsupport_2b Ваши_условия_слишком_высоки_--_когда_я_стану_{reg59?королевой:королем},_Фризия_будет_свободна_от_Дании.
str_npc9_kingsupport_2b Я_не_уверен,_что_осуществить_вашу_идею_будет_так_же_просто,_как_вы_думаете.
str_npc10_kingsupport_2b Вы_выжили_из_ума,_друг._В_каждой_нации_есть_достойные_и_благородные_люди.
str_npc11_kingsupport_2b Я_не_хочу_быть_Бритенвальдой. Забудь_об_этом.
str_npc12_kingsupport_2b Достаточно,_сэр._Я_не_позволю_вам_насмехаться_над_нашими_традициями.
str_npc13_kingsupport_2b На_самом_деле,_мне_хотелось_бы_немного_отдохнуть_после_того,_как_я_стану_королем, и_я_не_хотел_бы_нарушать_покой_остальной_Европы.
str_npc14_kingsupport_2b Хм._Что-то_я_не_уверен_насчет_этого._Кухулин_умер_ранней_и_трагичной_смертью._Я_не_хочу_рисковать,_сравнивая_себя_с_ним.
str_npc15_kingsupport_2b {reg59?Королевой:Королем}_бедных_и_слабых,_может_быть._Достаточно_подобных_разговоров.
str_npc16_kingsupport_2b Не_обижайтесь,_но_я_не_уверен,_что_выбрал_бы_подобный_подход_-_ведь,_возможно,_Бог_не_хочет,_чтоб_мы_все_были_такими.
str_npc_bashe_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход. Я не тот человек, что несет всем надежду.
str_npc_sange_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход. Я не тот человек, что несет всем надежду.
str_npc_paintrain_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc_hammertime_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc_tank_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc_backwoodsharry_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc_deadeye_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc_probulator_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc_grim_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc_enchantress_kingsupport_2b|Не обижайтесь, но я не уверен, что выберу подобный подход.
str_npc1_kingsupport_3|Если я похожу несколько недель по этой земле, рассказывая простым людям, что вы даруете амнистию их родственникам, прямо как римские -- ...хмм, может быть, консулы? -- в древности -- что ж, они начнут говорить о вас как о справедливом короле, и вымостят вам дорогу к трону. Ну что, начальник, я пошел?
str_npc3_kingsupport_3|Если бы вы защищали бедных рабов, и даже девушек в рабстве, я уверен, что большинство людей увидели бы вас добрым и справедливым {королем/королевой}. Итак, если вы сможете дать мне несколько недель, я пройду по местным деревням, рассказывая каждому мужчине и женщине, которые боятся порабощения из-за долгов или войны, что под вашим правлением они все равно будут иметь некоторую защиту и права.
str_npc4_kingsupport_3|Да -- я думаю, я слышал об этой линии. На самом деле, я могу представить совершенную родословную. Если вы отпустите меня, "Ваше величество", я попутешествую по деревням и замкам Британии и Гибернии в течение нескольких следующих недель, сея слово о вашем королевском происхождении. Ну и конечно, я надеюсь, что вы вспомните о вашем верном подданном, когда придет время распределения земель; и также я ожидаю, что вы поможете мне найти моего отца, после того, как станете законным и могущественным {королем/королевой}.
str_npc5_kingsupport_3|Во всяком случае, {лорд/леди}, если я смогу взять несколько недель, я позволитю людям Британии и Гибернии узнать, что, когда вы станете {королем/королевой}, вы установите для знати и простолюдинов право уладить споры внутри королевтства, основанное на традициях и обычаях. Я уверен, что многие будут рады поддержке их притязаний, поскольку вы привнесете единую справедливость во все земли под вашим правлением.
str_npc6_kingsupport_3|Очень хорошо. И хоть своей семье я сейчас чужой человек, я был вхож во многие придворные залы, пока сопровождал вас, и я полагаю, что меня примут там снова. Я пойду по этим землям и скажу благородным лордам, что, когда вы станете {королем/королевой}, вы приложите все усилия для защиты слабых и уничтожения разногласий, и ни один человек больше не посмеет поднять на другого руку безнаказанно. А также, что в скором времени Британия завладеет всеми землями, которыми сейчас незаконно правит Восточная Англия.
str_npc7_kingsupport_3|Вот, что я вам скажу, командир. Дайте мне несколько недель, и я пройду по нескольким деревням -- запах там, конечно, тот еще, но, как бы там ни было, я скажу людям, что только вы можете объединить эти земли. И у вас на службе к каждому мужчине и женщине, к каждой профессии и роду деятельности будут относиться и одинаково уважительно. И тогда все будут рассчитывать на вас, как на {мужчину/женщину}, чьи притязания на престол вернутся к ним в виде справедливости и правосудия.
str_npc8_kingsupport_3|Отлично! В таком случае дайте мне несколько недель, и я пройду по дворам этой страны, позволяя им узнать, что вы похожи на легендарных воинов старых времен, и что ваших силы, мужества, доблести и способностей самих по себе более, чем достаточно для удовлетворения ваших притязаний на трон. Все будут говорить о вас, как о новом Беовульфе, преемнике самого Артура, способного наконец-то принести мир этой многострадальной земле.
str_npc9_kingsupport_3|Это совершенно разумно, {сэр/мадам} -- и мы освободимся от бесконечных аудиенций, ходатайств и свитков этих треклятых купцов, которые занимают все мое и ваше свободное время, которое может уходить на сражения во славу нашего королевства! Позвольте мне уйти, и я распространю среди дворян этой земли слово о том, что вы здесь, чтобы восстановить старые порядки, и я готов поспорить, что много кто последует за вами в бой.
str_npc10_kingsupport_3|Что ж, тогда, друг, отпустите меня на несколько недель, и я смогу пройти по этим землям, рассказывая каждому саксонскому лорду, что Британия и Гиберния будут принадлежать им и только им, как только вы станете их королем. Я уверен, что многие из них будут очень рады перейти на вашу сторону, чтобы поддержать человека с такими хорошими взглядами на людей и дворянство.
str_npc11_kingsupport_3|В таком случае, даже если это заставит меня страдать по вам, позвольте мне удалиться на некоторое время. Я буду путешествовать по земле, рассказывая о ваших славных деяниях, как в любви, так и на войне. Я буду говорить, что вы как сам Артур, и никто, кроме вас, не заслуживает быть 'Penteyrnedd yr Ynys hon'. Там, откуда я родом, множество людей ожидают любого правителя, который бы наконец изгнал саксов, и они начнут думать, что вы именно тот {мужчина/женщина}. Дайте мне несколько недель -- даже если это заставит вас страдать по мне, я знаю -- и я полагаю, что смогу дать им небольшую надежду на то, что вы и есть их настоящий {король/королева}. 
str_npc12_kingsupport_3|Но знаете что? Нет никакого 'имперского' закона о том, как выбирать короля. Иногда один император передает империю своему сыну. Иногда он делит ее между своими генералами. Иногда претендент убивает императора и сам становится во главу империи. Нет никаких правил о том, кого короновать, и тогда, согласно здравому смыслу, корона переходит одному из самых достойных правления -- и им будете, естественно, вы. Дайте мне пару недель, и я напишу брошюру, доказывающую это, найду переписчика, и распространю по копии в каждую таверну страны. Как вам такая идея, командир?
str_npc13_kingsupport_3|Позвольте мне уйти на несколько недель, {сэр/мадам}, и я позволю всем достойным людям этой страны узнать, что вы один объедините не просто Британию, но все старые имперские доминионы. По моим соображениям, никто не станет {королем/королем или королевой}, пока не покажет способность править все объединенной Римской Империей -- и вы один продемонстрировали эту способность, {сэр/мадам}!
str_npc14_kingsupport_3|Ох, вы -- сама галантность. Тогда позвольте мне уйти на несколько недель, и я напишу такую историю, которая заставит взволноваться самые черствые сердца и восхищаться вашей добродетелью, сострадать вашим лишениям и возмущаться теми, кто посмел встать на вашем пути -- потому как вы есть новый Кухулин, готовый заставить весь мир прогнуться под натиском его несгибаемой воли. Конечно, я допускаю, что я могу позволить себе некоторые поэтические вольности в деталях, ну, например, как однажды вы в одиночку победили ту самую потерянную фоморскую армию?
str_npc15_kingsupport_3|Я рад, что вы так думаете. Вот, что я предлагаю. Я знаю людей, которые целиком зависят от выплат, людей, похожих на меня, которые были потрясены и сбиты с толку, когда больше не смогли их получать. И вот, что я им скажу -- вы честны. Вы уважаете торговцев. Вы платите по долгам. Вы не хотите, чтоб выши подданные были нищими.
str_npc16_kingsupport_3|Позвольте мне покинуть вас на несколько недель, и я совершу небольшое паломничество в каждую церковь, аббатство и монастырь в Британии и Гибернии. Наша Церковь узнает о том, что однажды вы планируете истребить всю ту тьму, что клубится вокруг святого Христианства. И тогда каждый человек, ежели свято верует он и добрый христианин, поддержит вас, как законно избранного Богом правителя.
str_npc_bashe_kingsupport_3|Позвольте мне покинуть вас на несколько недель. Если люди увидят в вас тусклый огонек надежды в эти темные времена, пусть даже самый слабый, им несомненно будет легче принять вас как законного правителя. Что вы на это скажете, командир?str_npc8_kingsupport_3|Good! Then give me a few weeks and I'll go about the courts of this land, letting it be known that you're like the legendary warriors of old, and that your strength, courage, prowess and ability alone are more than enough to back up your claim to the throne. Everyone shall speak of you as the new Beowulf, the successor of Arthur himself, the only one capable of bringing peace to this troubled land.
str_npc_sange_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_paintrain_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_hammertime_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_tank_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_backwoodsharry_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_deadeye_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_probulator_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_grim_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc_enchantress_kingsupport_3|Дайте мне отпуск на несколько недель. Если людить видят в вас луч надежды в это смутное время то безусловно им будет легче принять вас как правителя.Как вы на это смотрите?
str_npc1_kingsupport_objection Военочальник_--_Вы дали отпуск другу чтоб он сообшил дворянам  что вы отдадите им леса поля ии позволите торговать.Я вам говорю дайте им волю и они построят в каждой деревне по висилеце где будет болтатся каждый бродяга способный зделать себе лук и подстрелить в лесу себе зверя на ужин.
str_npc2_kingsupport_objection Хм военачальник. Несмотря на то что вы король ви можете ему помочь я не считаю это хорошей идеей. Мне не нравятся люди которые пьют в одиночесве. Он подозрительный.
str_npc3_kingsupport_objection Военачальник Reginhard отправился в путь прославлять вас.Он пойдёт по деревням расказывать бедным колхозникам что если вы {reg59 Королева:? Царю},то будете относится ко всем как к равным несмотря на их професию однако это не затронет рабов которые не заслуживают ничего кроме порки.Я действительно надеюсь, что ты не сказал это ему, а?
str_npc4_kingsupport_objection У меня есть чувство, что Вы играете со мной, так как Вы согласились с другим по той же самой проблеме поддержки короля.
str_npc5_kingsupport_objection Воевода  я не знаю что ты сказал Брунхильде. Но я понимаю если вы дадите слишком много прав рабам никто просто не захочет их иметь.Многие дворяне имеют больше одного раба и они врятли будут вас поддерживать в качесве своего короля.
str_npc6_kingsupport_objection Вы разослали лазутчиков чтоб сфабриковать свои права на владение.Я думаю что господь непозволить вам занять трод таким путём пусть даже ваши намерения благие.
str_npc7_kingsupport_objection Я слышал ваши слова о пиктах. Слышал что вы думаете что они достойны  быть только рабами и крестьянами.Чушь пиктские войны в мгновение ока разобьют ваше королевство если вы откажетесь с ними поделится.Я надеюсь вы прислушаетесь к моим словам.
str_npc8_kingsupport_objection Воевода ты хочеш воевать против всех. Возможно лучше сначала освободить Фризию и уже потом обьеденившись завоевать остальные народы.
str_npc9_kingsupport_objection {reg59?Madame:Sir} -- Мне стало известно что вы планируете ввести новые законы регулируюшие правовые споры в своём царстве. В этом нет необходимости ведь есть лиш один верный закон Римского право который даже ничтожный король Франков подерживает.И вы должны следовать его примеру.
str_npc10_kingsupport_objection Я слышал вы говорили Ливии что будете собирать армию из всех народов дабы востановить границы бывшей Римской империи. Это же чуш ведь только Саксонская армия способна это выполнить. И никогда Саксонцы не будут воевать рядом с Бритами. в этом вы от меня не получите никакой поддержки.
str_npc11_kingsupport_objection Я слышал вы когото отправили прославлять вас.Я думаю вы перепутали этого человека со мной ведь только мой артистизм мои связи и мой талант смогут должным образом прославить вас.
str_npc12_kingsupport_objection Повелитель я слышал вы послали монаха в качестве посла.Этот невежда утверждает что при вашем правлении будет запрешена медицина так как она противоречит святому писанию. Помилуйте таким образом мир снова скатится в тёмное время невежества и страха.
str_npc13_kingsupport_objection Я понимаю что вы обешаете помиловать всех негодяев после своего вступления на престол. Однако любая власть требует репресй вы как владыка должны понмать это.
str_npc14_kingsupport_objection Я слышал вы отправили Solveig в качесве глашатая своих мыслей.Дабы он обвинял сталыъх правтелей  узурпаторов во всех грехах. Я счтаю что люд должны иметь пример для подражания. Будете ли вы создавать королевства опираясь на учёных и всяких циников которые будут говорить нам что делать и во что верить. Я считаю это давольно мрачным будушим.
str_npc15_kingsupport_objection Я понимаю что ты послал распространять о себе слухи   об избраности. Но я как человек учёный тревожусь о том что власть будет жиздится на страха и суевериях. Такая вера может быстро пошатнутся тогда как правильно составленый гороскоп к примеру даст больше верыи правильней поддержит репутацию.Однако  трудно найти людей подерживаюших вашу репиутацию должным образом в наш век страха и невежества.
str_npc16_kingsupport_objection Я слішал ві отправили Асбьерн петь красивіе песни для своего народа о вашем величии. Однако то как он лечит людей наводит на місли чт в нём чтото есть от нечистого и таким образом єто возможно вредит вашей репутации.
str_npc_bashe_kingsupport_objection|Мой лорд я немогла больше молчать видят такое безаконие.Ради вашего будушего и ты это знаеш.Эти аргументы в корне неправильны.
str_npc_sange_kingsupport_objection|Мой лорд я немогла больше молчать видят такое безаконие.Ради вашего будушего и ты это знаеш.Эти аргументы в корне неправильны.
str_npc_paintrain_kingsupport_objection|Я немогу согласится с аргументами от твоего умени. Это ужастно,это неправильно я немогу больше молчать.
str_npc_hammertime_kingsupport_objection|Я немогу согласится с аргументами от твоего умени. Это ужастно,это неправильно я немогу больше молчать.
str_npc_tank_kingsupport_objection|Я немогу согласится с аргументами от твоего умени. Это ужастно,это неправильно я немогу больше молчать.
str_npc_backwoodsharry_kingsupport_objection|Я немогу согласится с аргументами от твоего умени. Это ужастно,это неправильно я немогу больше молчать.
str_npc_deadeye_kingsupport_objection|Я немогу согласится с аргументами от твоего умени. Это ужастно,это неправильно я немогу больше молчать.
str_npc_probulator_kingsupport_objection|Я не пойду с бастардом.
str_npc_grim_kingsupport_objection|Я немогу согласится с аргументами от твоего умени. Это ужастно,это неправильно я немогу больше молчать.
str_npc_enchantress_kingsupport_objection|Я немогу согласится с аргументами от твоего умени. Это ужастно,это неправильно я немогу больше молчать.
str_npc1_intel_mission|Начальник у меня есть несколько двоюродных братьев твёрдо стояших на ногах.Они могли бы отправится туда и послужить неплохими лазутчиками.
str_npc2_intel_mission|{Sir/My lady}, если вы заинтересованы в события в {s18}, я могу связаться с моими старыми торговыми партнерами в {s17}. Они обычно хорошо информированы о политических событиях.
str_npc3_intel_mission|Повелитель хотя это было давно, я жил в сельской местности {s17} с моей бабушкой,и я хорошо помню местных жителей. Я думаю эти ветераны хорошо осведомлены о состоянии дел в  {s18}.
str_npc4_intel_mission| Не могли бы вы уделить мне несколько дней, я бы хотел посмотреть старый товарищ по оружию в {s17}, который время от времени водить отряд  pay {s18}. Он хороший человек, добрый, кто мало говорит и слушает много. Я уверен, что за бокалом любимого напитка или два, он даст нам знать, в какую сторону дуют политические ветры в тех краях.
